ten |S1000 ten |S1000 ten [ten|ten]^
serve |S1000 serve |S1000 serve [serve|serve]^
money |S1000 money |S1000 money [money|money]^
serve |S1000 serve |S1000 serve [serve|serve]^
slow |S1000 slow |S1000 slow [slow|slow]^
serve |S1000 serve |S1000 serve [serve|serve]^
pattern |S1000 pattern |S1000 pattern [pattern|pattern]^
toward |S1000 toward |S1000 toward [toward|toward]^
center |S1000 center |S1000 center [center|center]^
serve |S1000 serve |S1000 serve [serve|serve]^
against |S1000 against |S1000 against [against|against]^
serve |S1000 serve |S1000 serve [serve|serve]^
simple |S1000 simple |S1000 simple [simple|simple]^
toward |S1000 toward |S1000 toward [toward|toward]^
serve |S1000 serve |S1000 serve [serve|serve]^
war |S1000 war |S1000 war [war|war]^
money |S1000 money |S1000 money [money|money]^
