dog |S1000 dog |S1000 dog [dog|dog]^
dog |S1000 dog |S1000 dog [dog|dog]^
though |S1000 though |S1000 though [though|though]^
bird |S1000 bird |S1000 bird [bird|bird]^
plain |S1000 plain |S1000 plain [plain|plain]^
dog |S1000 dog |S1000 dog [dog|dog]^
ever |S1000 ever |S1000 ever [ever|ever]^
bird |S1000 bird |S1000 bird [bird|bird]^
talk |S1000 talk |S1000 talk [talk|talk]^
list |S1000 list |S1000 list [list|list]^
dog |S1000 dog |S1000 dog [dog|dog]^
feel |S1000 feel |S1000 feel [feel|feel]^
young |S1000 young |S1000 young [young|young]^
