plane |S1000 plane |S1000 plane [plane|plane]^
east |S1000 east |S1000 east [east|east]^
bring |S1000 bring |S1000 bring [bring|bring]^
east |S1000 east |S1000 east [east|east]^
sit |S1000 sit |S1000 sit [sit|sit]^
heat |S1000 heat |S1000 heat [heat|heat]^
bed |S1000 bed |S1000 bed [bed|bed]^
east |S1000 east |S1000 east [east|east]^
bed |S1000 bed |S1000 bed [bed|bed]^
yes |S1000 yes |S1000 yes [yes|yes]^
brought |S1000 brought |S1000 brought [brought|brought]^
east |S1000 east |S1000 east [east|east]^
perhaps |S1000 perhaps |S1000 perhaps [perhaps|perhaps]^
check |S1000 check |S1000 check [check|check]^
