road |S1000 road |S1000 road [road|road]^
person |S1000 person |S1000 person [person|person]^
vowel |S1000 vowel |S1000 vowel [vowel|vowel]^
appear |S1000 appear |S1000 appear [appear|appear]^
cold |S1000 cold |S1000 cold [cold|cold]^
person |S1000 person |S1000 person [person|person]^
cold |S1000 cold |S1000 cold [cold|cold]^
love |S1000 love |S1000 love [love|love]^
cold |S1000 cold |S1000 cold [cold|cold]^
less |S1000 less |S1000 less [less|less]^
love |S1000 love |S1000 love [love|love]^
cold |S1000 cold |S1000 cold [cold|cold]^
against |S1000 against |S1000 against [against|against]^
