4T56 [4, T, 5, 6] ^
HSJH [H, S, J, H] ^
1HBD [1, H, B, D] ^
DHDS [D, H, D, S] ^
6UHJ [6, U, H, J] ^
DIIW [D, I, I, W] ^
1HJI [1, H, J, I] ^
5D15 [5, D, 1, 5] ^
DWEB [D, W, E, B] ^
414D [4, 1, 4, D] ^
VB5I [V, B, 5, I] ^
4B65 [4, B, 6, 5] ^
41VV [4, 1, V, V] ^
BI6V [B, I, 6, V] ^
6W1H [6, W, 1, H] ^
E5WI [E, 5, W, I] ^
4BVJ [4, B, V, J] ^
H44W [H, 4, 4, W] ^
5VTE [5, V, T, E] ^
UJEJ [U, J, E, J] ^
56TV [5, 6, T, V] ^
J4HI [J, 4, H, I] ^
54VI [5, 4, V, I] ^
HTIB [H, T, I, B] ^
4HIU [4, H, I, U] ^
61I6 [6, 1, I, 6] ^
6HSD [6, H, S, D] ^
ETES [E, T, E, S] ^
4DHJ [4, D, H, J] ^
USJW [U, S, J, W] ^
6DDJ [6, D, D, J] ^
1DW4 [1, D, W, 4] ^
BVB6 [B, V, B, 6] ^
6H1E [6, H, 1, E] ^
HEBU [H, E, B, U] ^
51HU [5, 1, H, U] ^
56V1 [5, 6, V, 1] ^
1BUI [1, B, U, I] ^
W414 [W, 4, 1, 4] ^
4EV5 [4, E, V, 5] ^
UB6B [U, B, 6, B] ^
61ES [6, 1, E, S] ^
HVUT [H, V, U, T] ^
5DBT [5, D, B, T] ^
HBW5 [H, B, W, 5] ^
1I5V [1, I, 5, V] ^
J1TV [J, 1, T, V] ^
41I4 [4, 1, I, 4] ^
J44W [J, 4, 4, W] ^
1BIU [1, B, I, U] ^
W6ES [W, 6, E, S] ^
6IT6 [6, I, T, 6] ^
I6JH [I, 6, J, H] ^
1I4D [1, I, 4, D] ^
WD5S [W, D, 5, S] ^
5SE6 [5, S, E, 6] ^
BUT5 [B, U, T, 5] ^
16VT [1, 6, V, T] ^
VJWD [V, J, W, D] ^
55BS [5, 5, B, S] ^
JEU1 [J, E, U, 1] ^
6SHB [6, S, H, B] ^
5H6E [5, H, 6, E] ^
1JHV [1, J, H, V] ^
UH6E [U, H, 6, E] ^
46DT [4, 6, D, T] ^
JT16 [J, T, 1, 6] ^
5IHB [5, I, H, B] ^
JT64 [J, T, 6, 4] ^
1DI6 [1, D, I, 6] ^
JHU1 [J, H, U, 1] ^
44EI [4, 4, E, I] ^
SDTW [S, D, T, W] ^
5IVT [5, I, V, T] ^
4WJ5 [4, W, J, 5] ^
55JV [5, 5, J, V] ^
HE1D [H, E, 1, D] ^
5H5S [5, H, 5, S] ^
WUT4 [W, U, T, 4] ^
614B [6, 1, 4, B] ^
UBUH [U, B, U, H] ^
46WS [4, 6, W, S] ^
UEWD [U, E, W, D] ^
41W6 [4, 1, W, 6] ^
U4UD [U, 4, U, D] ^
64EV [6, 4, E, V] ^
BJ4E [B, J, 4, E] ^
16HD [1, 6, H, D] ^
BWJ6 [B, W, J, 6] ^
5JHD [5, J, H, D] ^
W644 [W, 6, 4, 4] ^
65S5 [6, 5, S, 5] ^
1WJH [1, W, J, H] ^
J6UW [J, 6, U, W] ^
6VID [6, V, I, D] ^
IEVV [I, E, V, V] ^
146I [1, 4, 6, I] ^
S6IH [S, 6, I, H] ^
1TEU [1, T, E, U] ^
BDWD [B, D, W, D] ^
5W11 [5, W, 1, 1] ^
BET6 [B, E, T, 6] ^
66ET [6, 6, E, T] ^
5UEJ [5, U, E, J] ^
IBHT [I, B, H, T] ^
41UT [4, 1, U, T] ^
VSV6 [V, S, V, 6] ^
5B6E [5, B, 6, E] ^
U5UU [U, 5, U, U] ^
45TI [4, 5, T, I] ^
6JJ6 [6, J, J, 6] ^
VSVI [V, S, V, I] ^
5IWE [5, I, W, E] ^
UJWU [U, J, W, U] ^
1VHE [1, V, H, E] ^
JDSI [J, D, S, I] ^
4IUE [4, I, U, E] ^
6D1U [6, D, 1, U] ^
HV11 [H, V, 1, 1] ^
44EH [4, 4, E, H] ^
U4JU [U, 4, J, U] ^
1S1T [1, S, 1, T] ^
VW4T [V, W, 4, T] ^
11UE [1, 1, U, E] ^
JSDV [J, S, D, V] ^
61I5 [6, 1, I, 5] ^
WETU [W, E, T, U] ^
65HT [6, 5, H, T] ^
TETV [T, E, T, V] ^
1UJJ [1, U, J, J] ^
6BW4 [6, B, W, 4] ^
W1HI [W, 1, H, I] ^
5JJE [5, J, J, E] ^
BSIT [B, S, I, T] ^
4EEB [4, E, E, B] ^
DTSU [D, T, S, U] ^
1SBU [1, S, B, U] ^
JUS5 [J, U, S, 5] ^
545V [5, 4, 5, V] ^
UU4S [U, U, 4, S] ^
6SS1 [6, S, S, 1] ^
BJV5 [B, J, V, 5] ^
1DBW [1, D, B, W] ^
JDJU [J, D, J, U] ^
1JVH [1, J, V, H] ^
IBHW [I, B, H, W] ^
6BTV [6, B, T, V] ^
UHJW [U, H, J, W] ^
1DTE [1, D, T, E] ^
BV6W [B, V, 6, W] ^
41DB [4, 1, D, B] ^
S1BS [S, 1, B, S] ^
56T4 [5, 6, T, 4] ^
VHDV [V, H, D, V] ^
4HJT [4, H, J, T] ^
HJ5H [H, J, 5, H] ^
6B6B [6, B, 6, B] ^
VIV6 [V, I, V, 6] ^
5IJH [5, I, J, H] ^
W51T [W, 5, 1, T] ^
1DSU [1, D, S, U] ^
4BV6 [4, B, V, 6] ^
I4EH [I, 4, E, H] ^
41JI [4, 1, J, I] ^
6HIJ [6, H, I, J] ^
IBHI [I, B, H, I] ^
1J14 [1, J, 1, 4] ^
11S4 [1, 1, S, 4] ^
1WBJ [1, W, B, J] ^
5DDI [5, D, D, I] ^
ITH1 [I, T, H, 1] ^
4WIH [4, W, I, H] ^
UUSS [U, U, S, S] ^
1664 [1, 6, 6, 4] ^
EJVT [E, J, V, T] ^
5BUD [5, B, U, D] ^
JDIW [J, D, I, W] ^
5UTJ [5, U, T, J] ^
HIU4 [H, I, U, 4] ^
1H5S [1, H, 5, S] ^
WHUI [W, H, U, I] ^
44HJ [4, 4, H, J] ^
T54B [T, 5, 4, B] ^
6T4W [6, T, 4, W] ^
5JDE [5, J, D, E] ^
SUHB [S, U, H, B] ^
61SV [6, 1, S, V] ^
JW5E [J, W, 5, E] ^
1WI6 [1, W, I, 6] ^
BU4W [B, U, 4, W] ^
6H4J [6, H, 4, J] ^
IVSB [I, V, S, B] ^
41EV [4, 1, E, V] ^
EEDH [E, E, D, H] ^
5V15 [5, V, 1, 5] ^
TTSD [T, T, S, D] ^
6EJU [6, E, J, U] ^
156B [1, 5, 6, B] ^
DIB6 [D, I, B, 6] ^
6WWU [6, W, W, U] ^
VSBB [V, S, B, B] ^
4IHE [4, I, H, E] ^
WBEB [W, B, E, B] ^
6BJJ [6, B, J, J] ^
44H1 [4, 4, H, 1] ^
4TEH [4, T, E, H] ^
ED51 [E, D, 5, 1] ^
5UJS [5, U, J, S] ^
4WB1 [4, W, B, 1] ^
IDII [I, D, I, I] ^
16BI [1, 6, B, I] ^
WHDE [W, H, D, E] ^
1B5D [1, B, 5, D] ^
5HVW [5, H, V, W] ^
11EJ [1, 1, E, J] ^
UHHW [U, H, H, W] ^
5EJW [5, E, J, W] ^
4IB6 [4, I, B, 6] ^
54UD [5, 4, U, D] ^
UBSS [U, B, S, S] ^
1JBT [1, J, B, T] ^
JDBU [J, D, B, U] ^
1T11 [1, T, 1, 1] ^
JHDD [J, H, D, D] ^
65DI [6, 5, D, I] ^
IU1H [I, U, 1, H] ^
4V6D [4, V, 6, D] ^
66S4 [6, 6, S, 4] ^
WST4 [W, S, T, 4] ^
44TS [4, 4, T, S] ^
J546 [J, 5, 4, 6] ^
6U15 [6, U, 1, 5] ^
U655 [U, 6, 5, 5] ^
5IJ5 [5, I, J, 5] ^
H4ST [H, 4, S, T] ^
65WJ [6, 5, W, J] ^
EI6H [E, I, 6, H] ^
4654 [4, 6, 5, 4] ^
VIEV [V, I, E, V] ^
64SV [6, 4, S, V] ^
VVSV [V, V, S, V] ^
561B [5, 6, 1, B] ^
IVWU [I, V, W, U] ^
5644 [5, 6, 4, 4] ^
445E [4, 4, 5, E] ^
4UBS [4, U, B, S] ^
BJ4S [B, J, 4, S] ^
4HJ4 [4, H, J, 4] ^
D45E [D, 4, 5, E] ^
1WW6 [1, W, W, 6] ^
BUHB [B, U, H, B] ^
5H4V [5, H, 4, V] ^
ESV4 [E, S, V, 4] ^
6WWE [6, W, W, E] ^
4SWT [4, S, W, T] ^
VB61 [V, B, 6, 1] ^
41ES [4, 1, E, S] ^
SWJ4 [S, W, J, 4] ^
5IVT [5, I, V, T] ^
WSBH [W, S, B, H] ^
6VE4 [6, V, E, 4] ^
66WB [6, 6, W, B] ^
SHII [S, H, I, I] ^
6VW1 [6, V, W, 1] ^
T1HB [T, 1, H, B] ^
5TT6 [5, T, T, 6] ^
15SE [1, 5, S, E] ^
4VBV [4, V, B, V] ^
WJ6B [W, J, 6, B] ^
4SEW [4, S, E, W] ^
H56E [H, 5, 6, E] ^
5BTE [5, B, T, E] ^
4SDS [4, S, D, S] ^
SJVH [S, J, V, H] ^
5U41 [5, U, 4, 1] ^
IBTJ [I, B, T, J] ^
4TBE [4, T, B, E] ^
1JVB [1, J, V, B] ^
6TB4 [6, T, B, 4] ^
TW1H [T, W, 1, H] ^
6IH4 [6, I, H, 4] ^
D1T1 [D, 1, T, 1] ^
4EWT [4, E, W, T] ^
HID1 [H, I, D, 1] ^
5U4T [5, U, 4, T] ^
I1SE [I, 1, S, E] ^
1SIH [1, S, I, H] ^
IIBB [I, I, B, B] ^
44JV [4, 4, J, V] ^
BH64 [B, H, 6, 4] ^
4U4I [4, U, 4, I] ^
JWVI [J, W, V, I] ^
1J5B [1, J, 5, B] ^
D5SH [D, 5, S, H] ^
46E6 [4, 6, E, 6] ^
5H66 [5, H, 6, 6] ^
WDHU [W, D, H, U] ^
4HDD [4, H, D, D] ^
IT5H [I, T, 5, H] ^
6VTH [6, V, T, H] ^
1JTB [1, J, T, B] ^
B6TI [B, 6, T, I] ^
1S14 [1, S, 1, 4] ^
BVT4 [B, V, T, 4] ^
6EHB [6, E, H, B] ^
T414 [T, 4, 1, 4] ^
15ES [1, 5, E, S] ^
B6UW [B, 6, U, W] ^
6IEE [6, I, E, E] ^
J1B4 [J, 1, B, 4] ^
111W [1, 1, 1, W] ^
DI11 [D, I, 1, 1] ^
14I1 [1, 4, I, 1] ^
B6BB [B, 6, B, B] ^
5BET [5, B, E, T] ^
TS6V [T, S, 6, V] ^
615T [6, 1, 5, T] ^
VSHU [V, S, H, U] ^
6I5T [6, I, 5, T] ^
W5DJ [W, 5, D, J] ^
1VHV [1, V, H, V] ^
JVU5 [J, V, U, 5] ^
1SJS [1, S, J, S] ^
W4WE [W, 4, W, E] ^
4VJJ [4, V, J, J] ^
DH5T [D, H, 5, T] ^
15JB [1, 5, J, B] ^
DE5U [D, E, 5, U] ^
1B1S [1, B, 1, S] ^
BUHS [B, U, H, S] ^
4WWB [4, W, W, B] ^
6BWV [6, B, W, V] ^
16U6 [1, 6, U, 6] ^
BJDB [B, J, D, B] ^
64VE [6, 4, V, E] ^
BIT4 [B, I, T, 4] ^
6SVD [6, S, V, D] ^
4JVT [4, J, V, T] ^
1BTS [1, B, T, S] ^
4JTS [4, J, T, S] ^
D61B [D, 6, 1, B] ^
4TW4 [4, T, W, 4] ^
45DE [4, 5, D, E] ^
6S6E [6, S, 6, E] ^
I46W [I, 4, 6, W] ^
6JW4 [6, J, W, 4] ^
5EIB [5, E, I, B] ^
ITHE [I, T, H, E] ^
6I44 [6, I, 4, 4] ^
WI5J [W, I, 5, J] ^
5554 [5, 5, 5, 4] ^
VT6S [V, T, 6, S] ^
5I44 [5, I, 4, 4] ^
ESVW [E, S, V, W] ^
1SWE [1, S, W, E] ^
5TV1 [5, T, V, 1] ^
HHTW [H, H, T, W] ^
4HBE [4, H, B, E] ^
BUBD [B, U, B, D] ^
6W51 [6, W, 5, 1] ^
1B5E [1, B, 5, E] ^
H1SI [H, 1, S, I] ^
1IST [1, I, S, T] ^
IWHI [I, W, H, I] ^
1D6W [1, D, 6, W] ^
SEHS [S, E, H, S] ^
1D5E [1, D, 5, E] ^
EW4V [E, W, 4, V] ^
6BSD [6, B, S, D] ^
BTTV [B, T, T, V] ^
1BU5 [1, B, U, 5] ^
5UHT [5, U, H, T] ^
BWVW [B, W, V, W] ^
4B5H [4, B, 5, H] ^
ISWD [I, S, W, D] ^
5UDI [5, U, D, I] ^
WU51 [W, U, 5, 1] ^
6VTU [6, V, T, U] ^
TEUH [T, E, U, H] ^
4UI4 [4, U, I, 4] ^
I6DE [I, 6, D, E] ^
5DT6 [5, D, T, 6] ^
UU6J [U, U, 6, J] ^
6BT5 [6, B, T, 5] ^
V1ED [V, 1, E, D] ^
4S44 [4, S, 4, 4] ^
5VTT [5, V, T, T] ^
4TST [4, T, S, T] ^
6VWU [6, V, W, U] ^
EEH5 [E, E, H, 5] ^
51BV [5, 1, B, V] ^
61V5 [6, 1, V, 5] ^
D5V5 [D, 5, V, 5] ^
5HUH [5, H, U, H] ^
BUBW [B, U, B, W] ^
54B6 [5, 4, B, 6] ^
UI5S [U, I, 5, S] ^
4DT4 [4, D, T, 4] ^
6HJ5 [6, H, J, 5] ^
VDVS [V, D, V, S] ^
1TID [1, T, I, D] ^
V1HD [V, 1, H, D] ^
4EE6 [4, E, E, 6] ^
UHVU [U, H, V, U] ^
1U65 [1, U, 6, 5] ^
4VSJ [4, V, S, J] ^
45B1 [4, 5, B, 1] ^
HBTI [H, B, T, I] ^
6HJE [6, H, J, E] ^
IV5U [I, V, 5, U] ^
1EIB [1, E, I, B] ^
5I1S [5, I, 1, S] ^
WD1T [W, D, 1, T] ^
5I51 [5, I, 5, 1] ^
J5TD [J, 5, T, D] ^
46HD [4, 6, H, D] ^
BISW [B, I, S, W] ^
16WW [1, 6, W, W] ^
5IH1 [5, I, H, 1] ^
451T [4, 5, 1, T] ^
V44I [V, 4, 4, I] ^
5T1T [5, T, 1, T] ^
WDIU [W, D, I, U] ^
6EJI [6, E, J, I] ^
HVVI [H, V, V, I] ^
1JUJ [1, J, U, J] ^
S1JI [S, 1, J, I] ^
1ESS [1, E, S, S] ^
HVIB [H, V, I, B] ^
65II [6, 5, I, I] ^
HJBW [H, J, B, W] ^
51H1 [5, 1, H, 1] ^
TWUB [T, W, U, B] ^
416S [4, 1, 6, S] ^
VJ6U [V, J, 6, U] ^
1VUE [1, V, U, E] ^
JUU1 [J, U, U, 1] ^
6W1E [6, W, 1, E] ^
WBED [W, B, E, D] ^
46VD [4, 6, V, D] ^
66IS [6, 6, I, S] ^
I4TJ [I, 4, T, J] ^
5B6H [5, B, 6, H] ^
IIBS [I, I, B, S] ^
5IT6 [5, I, T, 6] ^
IV5W [I, V, 5, W] ^
6UEW [6, U, E, W] ^
UU4W [U, U, 4, W] ^
6HV5 [6, H, V, 5] ^
EWSW [E, W, S, W] ^
6JEU [6, J, E, U] ^
VDUT [V, D, U, T] ^
4DT5 [4, D, T, 5] ^
I4SH [I, 4, S, H] ^
6UUU [6, U, U, U] ^
H1B6 [H, 1, B, 6] ^
5DHH [5, D, H, H] ^
SV6T [S, V, 6, T] ^
5SU4 [5, S, U, 4] ^
IBIW [I, B, I, W] ^
6JDE [6, J, D, E] ^
HUV1 [H, U, V, 1] ^
6IWV [6, I, W, V] ^
JWBH [J, W, B, H] ^
4DDS [4, D, D, S] ^
J1DS [J, 1, D, S] ^
416V [4, 1, 6, V] ^
1VVS [1, V, V, S] ^
64S6 [6, 4, S, 6] ^
JB6E [J, B, 6, E] ^
4ED4 [4, E, D, 4] ^
54VI [5, 4, V, I] ^
TI1E [T, I, 1, E] ^
14BJ [1, 4, B, J] ^
D1JI [D, 1, J, I] ^
561S [5, 6, 1, S] ^
HJTS [H, J, T, S] ^
4TIV [4, T, I, V] ^
IV4J [I, V, 4, J] ^
1J16 [1, J, 1, 6] ^
5UIT [5, U, I, T] ^
ESJD [E, S, J, D] ^
5TJ1 [5, T, J, 1] ^
4UES [4, U, E, S] ^
S56B [S, 5, 6, B] ^
1IT5 [1, I, T, 5] ^
H1ST [H, 1, S, T] ^
46S5 [4, 6, S, 5] ^
55EB [5, 5, E, B] ^
UEBJ [U, E, B, J] ^
1VBI [1, V, B, I] ^
V4SE [V, 4, S, E] ^
1WV4 [1, W, V, 4] ^
SV1I [S, V, 1, I] ^
1SD5 [1, S, D, 5] ^
6WJ6 [6, W, J, 6] ^
B1TV [B, 1, T, V] ^
41B4 [4, 1, B, 4] ^
SVS4 [S, V, S, 4] ^
4HVU [4, H, V, U] ^
VHST [V, H, S, T] ^
6J16 [6, J, 1, 6] ^
DU4E [D, U, 4, E] ^
5466 [5, 4, 6, 6] ^
WV1H [W, V, 1, H] ^
4B4T [4, B, 4, T] ^
JVU4 [J, V, U, 4] ^
6B46 [6, B, 4, 6] ^
HUHJ [H, U, H, J] ^
6EBV [6, E, B, V] ^
51DW [5, 1, D, W] ^
S646 [S, 6, 4, 6] ^
1UUS [1, U, U, S] ^
JD65 [J, D, 6, 5] ^
1SEE [1, S, E, E] ^
5E5E [5, E, 5, E] ^
BTE1 [B, T, E, 1] ^
4IUJ [4, I, U, J] ^
D11S [D, 1, 1, S] ^
66V1 [6, 6, V, 1] ^
TUS4 [T, U, S, 4] ^
4JS4 [4, J, S, 4] ^
DS1J [D, S, 1, J] ^
1WU5 [1, W, U, 5] ^
EIIB [E, I, I, B] ^
4IEB [4, I, E, B] ^
DUTB [D, U, T, B] ^
5EJB [5, E, J, B] ^
TIT4 [T, I, T, 4] ^
65JD [6, 5, J, D] ^
S11I [S, 1, 1, I] ^
5WWB [5, W, W, B] ^
E4BJ [E, 4, B, J] ^
4U5J [4, U, 5, J] ^
HD4H [H, D, 4, H] ^
6B4U [6, B, 4, U] ^
ST66 [S, T, 6, 6] ^
66JB [6, 6, J, B] ^
SUBB [S, U, B, B] ^
6EIE [6, E, I, E] ^
IVJJ [I, V, J, J] ^
5SDT [5, S, D, T] ^
H541 [H, 5, 4, 1] ^
4TSH [4, T, S, H] ^
IVIT [I, V, I, T] ^
5IUT [5, I, U, T] ^
4HIV [4, H, I, V] ^
T6ED [T, 6, E, D] ^
5EUH [5, E, U, H] ^
J4WW [J, 4, W, W] ^
6JE6 [6, J, E, 6] ^
DH64 [D, H, 6, 4] ^
1H61 [1, H, 6, 1] ^
IT6V [I, T, 6, V] ^
4UBE [4, U, B, E] ^
IJDT [I, J, D, T] ^
4TUH [4, T, U, H] ^
T61E [T, 6, 1, E] ^
1J1E [1, J, 1, E] ^
W6BV [W, 6, B, V] ^
4J4E [4, J, 4, E] ^
THSD [T, H, S, D] ^
655U [6, 5, 5, U] ^
1T5B [1, T, 5, B] ^
UTUU [U, T, U, U] ^
1JBD [1, J, B, D] ^
UBDU [U, B, D, U] ^
6HHE [6, H, H, E] ^
1TET [1, T, E, T] ^
J6W6 [J, 6, W, 6] ^
1WJS [1, W, J, S] ^
HEBH [H, E, B, H] ^
5I4T [5, I, 4, T] ^
ESVD [E, S, V, D] ^
66TB [6, 6, T, B] ^
HETJ [H, E, T, J] ^
4615 [4, 6, 1, 5] ^
HUEU [H, U, E, U] ^
5TT5 [5, T, T, 5] ^
1U45 [1, U, 4, 5] ^
UBBS [U, B, B, S] ^
64JU [6, 4, J, U] ^
UWIE [U, W, I, E] ^
6SEJ [6, S, E, J] ^
U4H5 [U, 4, H, 5] ^
1E6D [1, E, 6, D] ^
JWUV [J, W, U, V] ^
16TJ [1, 6, T, J] ^
4E6J [4, E, 6, J] ^
S6V6 [S, 6, V, 6] ^
6JEH [6, J, E, H] ^
441B [4, 4, 1, B] ^
DJES [D, J, E, S] ^
4VH4 [4, V, H, 4] ^
DH65 [D, H, 6, 5] ^
6SJT [6, S, J, T] ^
55ET [5, 5, E, T] ^
ETVT [E, T, V, T] ^
4JEE [4, J, E, E] ^
5T4U [5, T, 4, U] ^
VIEI [V, I, E, I] ^
1H1H [1, H, 1, H] ^
TE5H [T, E, 5, H] ^
5ETT [5, E, T, T] ^
D6I6 [D, 6, I, 6] ^
1SHE [1, S, H, E] ^
USBB [U, S, B, B] ^
6V6D [6, V, 6, D] ^
SBBS [S, B, B, S] ^
4BJW [4, B, J, W] ^
45SW [4, 5, S, W] ^
EBTH [E, B, T, H] ^
5TEJ [5, T, E, J] ^
1JU6 [1, J, U, 6] ^
SVUJ [S, V, U, J] ^
4II1 [4, I, I, 1] ^
BJJU [B, J, J, U] ^
4T56 [4, T, 5, 6] ^
UV4T [U, V, 4, T] ^
6U5S [6, U, 5, S] ^
WUB6 [W, U, B, 6] ^
5TDH [5, T, D, H] ^
J5HH [J, 5, H, H] ^
6ITV [6, I, T, V] ^
DTB1 [D, T, B, 1] ^
16SH [1, 6, S, H] ^
SHSW [S, H, S, W] ^
5D1D [5, D, 1, D] ^
BWBI [B, W, B, I] ^
164U [1, 6, 4, U] ^
41JT [4, 1, J, T] ^
1BDV [1, B, D, V] ^
ID6V [I, D, 6, V] ^
4WU6 [4, W, U, 6] ^
65WI [6, 5, W, I] ^
1DBB [1, D, B, B] ^
UWHS [U, W, H, S] ^
5UW4 [5, U, W, 4] ^
S6TW [S, 6, T, W] ^
4ESJ [4, E, S, J] ^
UT5H [U, T, 5, H] ^
6JBS [6, J, B, S] ^
WS5W [W, S, 5, W] ^
641T [6, 4, 1, T] ^
VJDB [V, J, D, B] ^
14UH [1, 4, U, H] ^
VVEJ [V, V, E, J] ^
4SJU [4, S, J, U] ^
VVJ6 [V, V, J, 6] ^
1WI4 [1, W, I, 4] ^
S4BE [S, 4, B, E] ^
5JIH [5, J, I, H] ^
H4TV [H, 4, T, V] ^
6SJ6 [6, S, J, 6] ^
J6BU [J, 6, B, U] ^
6TES [6, T, E, S] ^
64EB [6, 4, E, B] ^
W4HD [W, 4, H, D] ^
1WEI [1, W, E, I] ^
TTJT [T, T, J, T] ^
6IBJ [6, I, B, J] ^
VJ4U [V, J, 4, U] ^
1TWV [1, T, W, V] ^
TW51 [T, W, 5, 1] ^
4JSI [4, J, S, I] ^
BJHE [B, J, H, E] ^
1U11 [1, U, 1, 1] ^
SDS1 [S, D, S, 1] ^
6JJ1 [6, J, J, 1] ^
I5H6 [I, 5, H, 6] ^
6WUU [6, W, U, U] ^
HUUT [H, U, U, T] ^
5ISU [5, I, S, U] ^
61JW [6, 1, J, W] ^
BVV4 [B, V, V, 4] ^
1U5V [1, U, 5, V] ^
BSJV [B, S, J, V] ^
1US6 [1, U, S, 6] ^
5ITU [5, I, T, U] ^
6UUD [6, U, U, D] ^
46ST [4, 6, S, T] ^
H15U [H, 1, 5, U] ^
55TW [5, 5, T, W] ^
HDW4 [H, D, W, 4] ^
44W4 [4, 4, W, 4] ^
BTUS [B, T, U, S] ^
5W55 [5, W, 5, 5] ^
1DIT [1, D, I, T] ^
UTJ5 [U, T, J, 5] ^
6S1J [6, S, 1, J] ^
UVW5 [U, V, W, 5] ^
4TV6 [4, T, V, 6] ^
WS5I [W, S, 5, I] ^
6UW1 [6, U, W, 1] ^
SDHB [S, D, H, B] ^
6W6V [6, W, 6, V] ^
T1SH [T, 1, S, H] ^
4EJW [4, E, J, W] ^
155U [1, 5, 5, U] ^
BSDJ [B, S, D, J] ^
1BBU [1, B, B, U] ^
VUS1 [V, U, S, 1] ^
4IWS [4, I, W, S] ^
HW45 [H, W, 4, 5] ^
14VS [1, 4, V, S] ^
5E1V [5, E, 1, V] ^
VWB1 [V, W, B, 1] ^
4U1U [4, U, 1, U] ^
SHDE [S, H, D, E] ^
5WS1 [5, W, S, 1] ^
HV5U [H, V, 5, U] ^
5HSU [5, H, S, U] ^
H515 [H, 5, 1, 5] ^
4I4S [4, I, 4, S] ^
WBVI [W, B, V, I] ^
5SV4 [5, S, V, 4] ^
16VW [1, 6, V, W] ^
J4T4 [J, 4, T, 4] ^
5WHS [5, W, H, S] ^
SJBT [S, J, B, T] ^
6UUT [6, U, U, T] ^
TJ6T [T, J, 6, T] ^
4BUS [4, B, U, S] ^
TS6B [T, S, 6, B] ^
1BD1 [1, B, D, 1] ^
UI4B [U, I, 4, B] ^
54V4 [5, 4, V, 4] ^
61IH [6, 1, I, H] ^
SBDT [S, B, D, T] ^
1I1H [1, I, 1, H] ^
I4JB [I, 4, J, B] ^
6WEJ [6, W, E, J] ^
HSJV [H, S, J, V] ^
4EJU [4, E, J, U] ^
SBTU [S, B, T, U] ^
4DT5 [4, D, T, 5] ^
JTSV [J, T, S, V] ^
4VEB [4, V, E, B] ^
5WSB [5, W, S, B] ^
WE1H [W, E, 1, H] ^
1HHS [1, H, H, S] ^
WWUW [W, W, U, W] ^
6W1E [6, W, 1, E] ^
J6WS [J, 6, W, S] ^
1S46 [1, S, 4, 6] ^
6WT1 [6, W, T, 1] ^
VTI1 [V, T, I, 1] ^
1EUJ [1, E, U, J] ^
D1VE [D, 1, V, E] ^
1IH5 [1, I, H, 5] ^
BT5V [B, T, 5, V] ^
14VI [1, 4, V, I] ^
H5VJ [H, 5, V, J] ^
64I1 [6, 4, I, 1] ^
5WHV [5, W, H, V] ^
SDHW [S, D, H, W] ^
65TB [6, 5, T, B] ^
H6TS [H, 6, T, S] ^
16U5 [1, 6, U, 5] ^
I4WT [I, 4, W, T] ^
1UUU [1, U, U, U] ^
EIU1 [E, I, U, 1] ^
4I45 [4, I, 4, 5] ^
JW14 [J, W, 1, 4] ^
54SJ [5, 4, S, J] ^
WUWI [W, U, W, I] ^
1EJB [1, E, J, B] ^
64VI [6, 4, V, I] ^
EEVS [E, E, V, S] ^
1JBB [1, J, B, B] ^
BVHJ [B, V, H, J] ^
