2B EPA [2 B, Eastern Pennsylvania]^
2B WV [2 B, West Virginia]^
1B MN [1 B, Minnesota]^
5A GA [5 A, Georgia]^
1F WY [1 F, Wyoming]^
1F BC [1 F, British Columbia]^
4A SNJ [4 A, Southern New Jersey]^
1D NNJ [1 D, Northern New Jersey]^
4F NV [4 F, Nevada]^
3A NT [3 A, Northern Territories]^
7E NLI [7 E, Long Island]^
14A AK [14 A, Alaska]^
