6UST6 [6, U, S, T, 6] ^
H4TEV [H, 4, T, E, V] ^
6SVUT [6, S, V, U, T] ^
WIEVT [W, I, E, V, T] ^
4ET5D [4, E, T, 5, D] ^
TT1HH [T, T, 1, H, H] ^
1SH5I [1, S, H, 5, I] ^
T6SED [T, 6, S, E, D] ^
66IDH [6, 6, I, D, H] ^
15WV1 [1, 5, W, V, 1] ^
4I641 [4, I, 6, 4, 1] ^
U5VS6 [U, 5, V, S, 6] ^
4U1BW [4, U, 1, B, W] ^
5ESTT [5, E, S, T, T] ^
TISIH [T, I, S, I, H] ^
5B64I [5, B, 6, 4, I] ^
I14JU [I, 1, 4, J, U] ^
5IE5W [5, I, E, 5, W] ^
HI46T [H, I, 4, 6, T] ^
66S44 [6, 6, S, 4, 4] ^
UVS1I [U, V, S, 1, I] ^
1HT5E [1, H, T, 5, E] ^
55HH1 [5, 5, H, H, 1] ^
5IHIT [5, I, H, I, T] ^
BB5B4 [B, B, 5, B, 4] ^
4BDD5 [4, B, D, D, 5] ^
1TDVH [1, T, D, V, H] ^
VTBU6 [V, T, B, U, 6] ^
6I5H6 [6, I, 5, H, 6] ^
UD4SE [U, D, 4, S, E] ^
6IT6W [6, I, T, 6, W] ^
5WV1U [5, W, V, 1, U] ^
U4H1S [U, 4, H, 1, S] ^
6ITEH [6, I, T, E, H] ^
BI66J [B, I, 6, 6, J] ^
56BIJ [5, 6, B, I, J] ^
TU5TI [T, U, 5, T, I] ^
1BBBU [1, B, B, B, U] ^
TBV5U [T, B, V, 5, U] ^
55B4S [5, 5, B, 4, S] ^
UBBJI [U, B, B, J, I] ^
4TTJB [4, T, T, J, B] ^
J6BDV [J, 6, B, D, V] ^
44BSU [4, 4, B, S, U] ^
W4V16 [W, 4, V, 1, 6] ^
4IDWW [4, I, D, W, W] ^
TV441 [T, V, 4, 4, 1] ^
4UB6H [4, U, B, 6, H] ^
IWJVH [I, W, J, V, H] ^
5B115 [5, B, 1, 1, 5] ^
BDWS6 [B, D, W, S, 6] ^
5W6JW [5, W, 6, J, W] ^
WEDVE [W, E, D, V, E] ^
4DDDW [4, D, D, D, W] ^
VWD4E [V, W, D, 4, E] ^
6IS6B [6, I, S, 6, B] ^
41ISD [4, 1, I, S, D] ^
TTJVS [T, T, J, V, S] ^
4H1BU [4, H, 1, B, U] ^
D6T4T [D, 6, T, 4, T] ^
66TW6 [6, 6, T, W, 6] ^
DHE4I [D, H, E, 4, I] ^
5BDSE [5, B, D, S, E] ^
TTE6V [T, T, E, 6, V] ^
1TTEE [1, T, T, E, E] ^
DD1HW [D, D, 1, H, W] ^
46S4S [4, 6, S, 4, S] ^
BD5JS [B, D, 5, J, S] ^
4JV5J [4, J, V, 5, J] ^
VIIBU [V, I, I, B, U] ^
4SI5T [4, S, I, 5, T] ^
T5WIE [T, 5, W, I, E] ^
5UTW4 [5, U, T, W, 4] ^
VS1BH [V, S, 1, B, H] ^
5U6T6 [5, U, 6, T, 6] ^
EIJWU [E, I, J, W, U] ^
6VBWV [6, V, B, W, V] ^
DJI6B [D, J, I, 6, B] ^
14TSI [1, 4, T, S, I] ^
4JSE4 [4, J, S, E, 4] ^
DBBHW [D, B, B, H, W] ^
51ESW [5, 1, E, S, W] ^
WWVSU [W, W, V, S, U] ^
1USIE [1, U, S, I, E] ^
VWIID [V, W, I, I, D] ^
4V5B4 [4, V, 5, B, 4] ^
IVU4H [I, V, U, 4, H] ^
6HU4B [6, H, U, 4, B] ^
U6WEU [U, 6, W, E, U] ^
5JJIJ [5, J, J, I, J] ^
DBHI5 [D, B, H, I, 5] ^
4U4DW [4, U, 4, D, W] ^
DJT4H [D, J, T, 4, H] ^
6EE6E [6, E, E, 6, E] ^
DB6US [D, B, 6, U, S] ^
6T6W4 [6, T, 6, W, 4] ^
HIBTW [H, I, B, T, W] ^
54V5E [5, 4, V, 5, E] ^
VJEWB [V, J, E, W, B] ^
5BSDV [5, B, S, D, V] ^
SSV6T [S, S, V, 6, T] ^
5I4EV [5, I, 4, E, V] ^
TV5JE [T, V, 5, J, E] ^
5IEJD [5, I, E, J, D] ^
JVD6I [J, V, D, 6, I] ^
1JDW1 [1, J, D, W, 1] ^
U56JD [U, 5, 6, J, D] ^
5TUDS [5, T, U, D, S] ^
DJ6VW [D, J, 6, V, W] ^
554SB [5, 5, 4, S, B] ^
E5VSE [E, 5, V, S, E] ^
4IDUW [4, I, D, U, W] ^
DBB15 [D, B, B, 1, 5] ^
5VVUE [5, V, V, U, E] ^
TVBUV [T, V, B, U, V] ^
5I61V [5, I, 6, 1, V] ^
1EWIT [1, E, W, I, T] ^
6DDB5 [6, D, D, B, 5] ^
HWDS6 [H, W, D, S, 6] ^
4ESVW [4, E, S, V, W] ^
EDHWS [E, D, H, W, S] ^
6W4I1 [6, W, 4, I, 1] ^
46TWH [4, 6, T, W, H] ^
JJJ4J [J, J, J, 4, J] ^
4VSBB [4, V, S, B, B] ^
BIWE1 [B, I, W, E, 1] ^
1I6W5 [1, I, 6, W, 5] ^
EVSJ6 [E, V, S, J, 6] ^
1SS6S [1, S, S, 6, S] ^
DSIWE [D, S, I, W, E] ^
6J651 [6, J, 6, 5, 1] ^
USBW4 [U, S, B, W, 4] ^
5VJ5H [5, V, J, 5, H] ^
D1SIE [D, 1, S, I, E] ^
4J561 [4, J, 5, 6, 1] ^
SETJ1 [S, E, T, J, 1] ^
4ETU5 [4, E, T, U, 5] ^
WIJEI [W, I, J, E, I] ^
5VS5E [5, V, S, 5, E] ^
VDWIE [V, D, W, I, E] ^
5VT6T [5, V, T, 6, T] ^
VIB5S [V, I, B, 5, S] ^
51VH6 [5, 1, V, H, 6] ^
J56DW [J, 5, 6, D, W] ^
4WIB1 [4, W, I, B, 1] ^
EBS4T [E, B, S, 4, T] ^
46VVE [4, 6, V, V, E] ^
1TST4 [1, T, S, T, 4] ^
TJ4SV [T, J, 4, S, V] ^
4T64E [4, T, 6, 4, E] ^
IUVVS [I, U, V, V, S] ^
4IW4D [4, I, W, 4, D] ^
6UUET [6, U, U, E, T] ^
BBHTD [B, B, H, T, D] ^
6JHU5 [6, J, H, U, 5] ^
SJDHB [S, J, D, H, B] ^
1UTIH [1, U, T, I, H] ^
TUJ1U [T, U, J, 1, U] ^
5I666 [5, I, 6, 6, 6] ^
SV1IV [S, V, 1, I, V] ^
1DUEW [1, D, U, E, W] ^
TUUII [T, U, U, I, I] ^
6BIJW [6, B, I, J, W] ^
TBSED [T, B, S, E, D] ^
6WHJU [6, W, H, J, U] ^
E5H6E [E, 5, H, 6, E] ^
5S66J [5, S, 6, 6, J] ^
U54J1 [U, 5, 4, J, 1] ^
51BID [5, 1, B, I, D] ^
TBE4S [T, B, E, 4, S] ^
4SWWW [4, S, W, W, W] ^
DIJ5U [D, I, J, 5, U] ^
4EIJI [4, E, I, J, I] ^
VSW6I [V, S, W, 6, I] ^
5I1TD [5, I, 1, T, D] ^
HT1SH [H, T, 1, S, H] ^
1VJV6 [1, V, J, V, 6] ^
SET4U [S, E, T, 4, U] ^
4WESV [4, W, E, S, V] ^
HWDE1 [H, W, D, E, 1] ^
6IVIW [6, I, V, I, W] ^
JTTSB [J, T, T, S, B] ^
6SWB4 [6, S, W, B, 4] ^
461H4 [4, 6, 1, H, 4] ^
TWVJS [T, W, V, J, S] ^
5IDSV [5, I, D, S, V] ^
WT1VD [W, T, 1, V, D] ^
1S41I [1, S, 4, 1, I] ^
THVU4 [T, H, V, U, 4] ^
6DB44 [6, D, B, 4, 4] ^
I6B56 [I, 6, B, 5, 6] ^
141I5 [1, 4, 1, I, 5] ^
DW5HH [D, W, 5, H, H] ^
6V5B1 [6, V, 5, B, 1] ^
VI1D5 [V, I, 1, D, 5] ^
54THB [5, 4, T, H, B] ^
TUWEE [T, U, W, E, E] ^
6VTWB [6, V, T, W, B] ^
HBH64 [H, B, H, 6, 4] ^
41UTB [4, 1, U, T, B] ^
VBEB1 [V, B, E, B, 1] ^
115ED [1, 1, 5, E, D] ^
UBEEH [U, B, E, E, H] ^
6ID65 [6, I, D, 6, 5] ^
E4SJ6 [E, 4, S, J, 6] ^
5TWIH [5, T, W, I, H] ^
HHHJ6 [H, H, H, J, 6] ^
1HJHI [1, H, J, H, I] ^
DJD6W [D, J, D, 6, W] ^
1UH6H [1, U, H, 6, H] ^
ISJJB [I, S, J, J, B] ^
4DBB6 [4, D, B, B, 6] ^
SIB1D [S, I, B, 1, D] ^
5T15E [5, T, 1, 5, E] ^
UHVVT [U, H, V, V, T] ^
4D5T1 [4, D, 5, T, 1] ^
65IDW [6, 5, I, D, W] ^
4JVS5 [4, J, V, S, 5] ^
S5UWD [S, 5, U, W, D] ^
4B61V [4, B, 6, 1, V] ^
TISES [T, I, S, E, S] ^
6UUD4 [6, U, U, D, 4] ^
HD5E5 [H, D, 5, E, 5] ^
4ID5B [4, I, D, 5, B] ^
USHTT [U, S, H, T, T] ^
4IIJT [4, I, I, J, T] ^
D1HB5 [D, 1, H, B, 5] ^
6U45H [6, U, 4, 5, H] ^
DTW1U [D, T, W, 1, U] ^
1IJWW [1, I, J, W, W] ^
H6W1U [H, 6, W, 1, U] ^
6SUES [6, S, U, E, S] ^
VSD5B [V, S, D, 5, B] ^
5EJ5D [5, E, J, 5, D] ^
JE6DD [J, E, 6, D, D] ^
5U6IB [5, U, 6, I, B] ^
EU5ST [E, U, 5, S, T] ^
46UJ4 [4, 6, U, J, 4] ^
I1H5B [I, 1, H, 5, B] ^
1BWJT [1, B, W, J, T] ^
6HIWW [6, H, I, W, W] ^
HBHBT [H, B, H, B, T] ^
1WD5J [1, W, D, 5, J] ^
HJ15D [H, J, 1, 5, D] ^
5ISDI [5, I, S, D, I] ^
6JH5D [6, J, H, 5, D] ^
W66BV [W, 6, 6, B, V] ^
4UBIB [4, U, B, I, B] ^
ED6DW [E, D, 6, D, W] ^
5I4SI [5, I, 4, S, I] ^
WVDUJ [W, V, D, U, J] ^
6TVJB [6, T, V, J, B] ^
BITEV [B, I, T, E, V] ^
5IIDE [5, I, I, D, E] ^
DHS4D [D, H, S, 4, D] ^
6TE6I [6, T, E, 6, I] ^
5VJHU [5, V, J, H, U] ^
VUDWE [V, U, D, W, E] ^
4SUSJ [4, S, U, S, J] ^
IVEU4 [I, V, E, U, 4] ^
5VWTH [5, V, W, T, H] ^
EDSIE [E, D, S, I, E] ^
6EIHW [6, E, I, H, W] ^
DIS6I [D, I, S, 6, I] ^
1DHH6 [1, D, H, H, 6] ^
V6JSV [V, 6, J, S, V] ^
51SHE [5, 1, S, H, E] ^
5DIHJ [5, D, I, H, J] ^
DWTHU [D, W, T, H, U] ^
1HTUE [1, H, T, U, E] ^
51VHV [5, 1, V, H, V] ^
SWJBW [S, W, J, B, W] ^
1JDJV [1, J, D, J, V] ^
J6BT5 [J, 6, B, T, 5] ^
1VTTD [1, V, T, T, D] ^
SWDUJ [S, W, D, U, J] ^
55SHJ [5, 5, S, H, J] ^
1VHDT [1, V, H, D, T] ^
IU1SU [I, U, 1, S, U] ^
5JUD5 [5, J, U, D, 5] ^
UUEU6 [U, U, E, U, 6] ^
5UTIW [5, U, T, I, W] ^
DU14D [D, U, 1, 4, D] ^
61WS4 [6, 1, W, S, 4] ^
VTTDJ [V, T, T, D, J] ^
1B4S1 [1, B, 4, S, 1] ^
6JJ6U [6, J, J, 6, U] ^
TBVV1 [T, B, V, V, 1] ^
14EI6 [1, 4, E, I, 6] ^
U1JE4 [U, 1, J, E, 4] ^
15HB5 [1, 5, H, B, 5] ^
WBI55 [W, B, I, 5, 5] ^
5HU1D [5, H, U, 1, D] ^
4IEUE [4, I, E, U, E] ^
J65UW [J, 6, 5, U, W] ^
6TTJU [6, T, T, J, U] ^
IIUEJ [I, I, U, E, J] ^
6V1HH [6, V, 1, H, H] ^
W4HJW [W, 4, H, J, W] ^
4UB6U [4, U, B, 6, U] ^
JJIUU [J, J, I, U, U] ^
4I1EI [4, I, 1, E, I] ^
T6JS5 [T, 6, J, S, 5] ^
4SSHT [4, S, S, H, T] ^
JHISB [J, H, I, S, B] ^
5WIUI [5, W, I, U, I] ^
55S1V [5, 5, S, 1, V] ^
UJV1J [U, J, V, 1, J] ^
6JHI5 [6, J, H, I, 5] ^
4WVHE [4, W, V, H, E] ^
ISJTD [I, S, J, T, D] ^
5J6DI [5, J, 6, D, I] ^
IETBE [I, E, T, B, E] ^
56HJD [5, 6, H, J, D] ^
W1EV6 [W, 1, E, V, 6] ^
1DIJW [1, D, I, J, W] ^
4JEEJ [4, J, E, E, J] ^
54SJT [5, 4, S, J, T] ^
TWJW6 [T, W, J, W, 6] ^
4S4VU [4, S, 4, V, U] ^
UHJTU [U, H, J, T, U] ^
1T6BS [1, T, 6, B, S] ^
U6SD6 [U, 6, S, D, 6] ^
15SSU [1, 5, S, S, U] ^
EV44V [E, V, 4, 4, V] ^
6J4DW [6, J, 4, D, W] ^
HIDID [H, I, D, I, D] ^
5BIUH [5, B, I, U, H] ^
ITVJ4 [I, T, V, J, 4] ^
1EBIT [1, E, B, I, T] ^
I6VWU [I, 6, V, W, U] ^
5DHJI [5, D, H, J, I] ^
W5UBW [W, 5, U, B, W] ^
4E1JI [4, E, 1, J, I] ^
DVHEU [D, V, H, E, U] ^
5VHHI [5, V, H, H, I] ^
6BB6J [6, B, B, 6, J] ^
T55VD [T, 5, 5, V, D] ^
6SJID [6, S, J, I, D] ^
E4USJ [E, 4, U, S, J] ^
1JDVV [1, J, D, V, V] ^
DIH55 [D, I, H, 5, 5] ^
6D6I4 [6, D, 6, I, 4] ^
1DHJJ [1, D, H, J, J] ^
I1BTH [I, 1, B, T, H] ^
5VHUT [5, V, H, U, T] ^
I1VWS [I, 1, V, W, S] ^
6HTTE [6, H, T, T, E] ^
T64VB [T, 6, 4, V, B] ^
64UUT [6, 4, U, U, T] ^
6JHSI [6, J, H, S, I] ^
SSS51 [S, S, S, 5, 1] ^
5UDB4 [5, U, D, B, 4] ^
S4SU4 [S, 4, S, U, 4] ^
5ITTH [5, I, T, T, H] ^
HVVE5 [H, V, V, E, 5] ^
5411W [5, 4, 1, 1, W] ^
DS14B [D, S, 1, 4, B] ^
6EVJT [6, E, V, J, T] ^
IID11 [I, I, D, 1, 1] ^
6VD6H [6, V, D, 6, H] ^
JSD4V [J, S, D, 4, V] ^
5U455 [5, U, 4, 5, 5] ^
UEWB6 [U, E, W, B, 6] ^
1WUDT [1, W, U, D, T] ^
HJI5E [H, J, I, 5, E] ^
6644D [6, 6, 4, 4, D] ^
5WEES [5, W, E, E, S] ^
HDD6V [H, D, D, 6, V] ^
6E446 [6, E, 4, 4, 6] ^
W6DWJ [W, 6, D, W, J] ^
61T5I [6, 1, T, 5, I] ^
V1BJ6 [V, 1, B, J, 6] ^
5BJJ5 [5, B, J, J, 5] ^
SJ5V4 [S, J, 5, V, 4] ^
65VUU [6, 5, V, U, U] ^
4UIU5 [4, U, I, U, 5] ^
1BHDD [1, B, H, D, D] ^
IJWJJ [I, J, W, J, J] ^
1HIH4 [1, H, I, H, 4] ^
6DJ6T [6, D, J, 6, T] ^
TEETB [T, E, E, T, B] ^
5DD61 [5, D, D, 6, 1] ^
HUHH5 [H, U, H, H, 5] ^
55I6D [5, 5, I, 6, D] ^
U5W56 [U, 5, W, 5, 6] ^
1DS1S [1, D, S, 1, S] ^
4EB5T [4, E, B, 5, T] ^
JVTUD [J, V, T, U, D] ^
4HEVB [4, H, E, V, B] ^
5DI1H [5, D, I, 1, H] ^
USETT [U, S, E, T, T] ^
5J5WT [5, J, 5, W, T] ^
ST1V1 [S, T, 1, V, 1] ^
6UU6U [6, U, U, 6, U] ^
DSSB1 [D, S, S, B, 1] ^
1WUES [1, W, U, E, S] ^
U5BJI [U, 5, B, J, I] ^
6HBWV [6, H, B, W, V] ^
4U1W6 [4, U, 1, W, 6] ^
JEE5E [J, E, E, 5, E] ^
1UVDU [1, U, V, D, U] ^
DS1DJ [D, S, 1, D, J] ^
1ID1U [1, I, D, 1, U] ^
UBBBB [U, B, B, B, B] ^
5JV44 [5, J, V, 4, 4] ^
TVHBI [T, V, H, B, I] ^
4IBUD [4, I, B, U, D] ^
VJVEU [V, J, V, E, U] ^
66IWW [6, 6, I, W, W] ^
EWIB4 [E, W, I, B, 4] ^
1HDBI [1, H, D, B, I] ^
JSJVH [J, S, J, V, H] ^
114VB [1, 1, 4, V, B] ^
1H1WE [1, H, 1, W, E] ^
UWHI5 [U, W, H, I, 5] ^
1T4T5 [1, T, 4, T, 5] ^
DJ6ET [D, J, 6, E, T] ^
66UTV [6, 6, U, T, V] ^
SISI6 [S, I, S, I, 6] ^
66J55 [6, 6, J, 5, 5] ^
DSEWW [D, S, E, W, W] ^
65DBT [6, 5, D, B, T] ^
W14JD [W, 1, 4, J, D] ^
5WS46 [5, W, S, 4, 6] ^
IHTIV [I, H, T, I, V] ^
44ISW [4, 4, I, S, W] ^
V5DWU [V, 5, D, W, U] ^
4TVJ6 [4, T, V, J, 6] ^
IU115 [I, U, 1, 1, 5] ^
1UW5T [1, U, W, 5, T] ^
JBTS1 [J, B, T, S, 1] ^
6UJTI [6, U, J, T, I] ^
4EB5B [4, E, B, 5, B] ^
WE4W1 [W, E, 4, W, 1] ^
5V5U4 [5, V, 5, U, 4] ^
TT651 [T, T, 6, 5, 1] ^
6I6JB [6, I, 6, J, B] ^
S65I4 [S, 6, 5, I, 4] ^
6HDI5 [6, H, D, I, 5] ^
SE1JT [S, E, 1, J, T] ^
466B6 [4, 6, 6, B, 6] ^
16WI5 [1, 6, W, I, 5] ^
IB5UH [I, B, 5, U, H] ^
6HE6T [6, H, E, 6, T] ^
HBSSB [H, B, S, S, B] ^
4E61H [4, E, 6, 1, H] ^
5VW6H [5, V, W, 6, H] ^
SVW4E [S, V, W, 4, E] ^
4WBT6 [4, W, B, T, 6] ^
641UE [6, 4, 1, U, E] ^
WBH6V [W, B, H, 6, V] ^
4VWEU [4, V, W, E, U] ^
WHDED [W, H, D, E, D] ^
4HV6S [4, H, V, 6, S] ^
UTSVW [U, T, S, V, W] ^
5TVTT [5, T, V, T, T] ^
DT4TH [D, T, 4, T, H] ^
5WT5B [5, W, T, 5, B] ^
ISETB [I, S, E, T, B] ^
114ID [1, 1, 4, I, D] ^
VS16T [V, S, 1, 6, T] ^
5J6SD [5, J, 6, S, D] ^
6SVWI [6, S, V, W, I] ^
4SDJ4 [4, S, D, J, 4] ^
HHBSB [H, H, B, S, B] ^
1EJ61 [1, E, J, 6, 1] ^
IU4SH [I, U, 4, S, H] ^
1JH45 [1, J, H, 4, 5] ^
UVD4H [U, V, D, 4, H] ^
1TSDI [1, T, S, D, I] ^
HTTUE [H, T, T, U, E] ^
1JE6W [1, J, E, 6, W] ^
EDWID [E, D, W, I, D] ^
6DHDV [6, D, H, D, V] ^
HEV14 [H, E, V, 1, 4] ^
5DEB6 [5, D, E, B, 6] ^
6EEDB [6, E, E, D, B] ^
WUVV6 [W, U, V, V, 6] ^
1VEU1 [1, V, E, U, 1] ^
5UBDU [5, U, B, D, U] ^
WTSBE [W, T, S, B, E] ^
4TESB [4, T, E, S, B] ^
BVE56 [B, V, E, 5, 6] ^
541BT [5, 4, 1, B, T] ^
VSIUW [V, S, I, U, W] ^
66HBH [6, 6, H, B, H] ^
DDWDB [D, D, W, D, B] ^
6WS1H [6, W, S, 1, H] ^
51DDV [5, 1, D, D, V] ^
DDI4S [D, D, I, 4, S] ^
4USBH [4, U, S, B, H] ^
WEVS1 [W, E, V, S, 1] ^
5TWDU [5, T, W, D, U] ^
1E4BW [1, E, 4, B, W] ^
5JWIV [5, J, W, I, V] ^
BVSIU [B, V, S, I, U] ^
5E51I [5, E, 5, 1, I] ^
TV6UV [T, V, 6, U, V] ^
4BJ4V [4, B, J, 4, V] ^
TSJSI [T, S, J, S, I] ^
6DTSS [6, D, T, S, S] ^
I5VVB [I, 5, V, V, B] ^
11HDI [1, 1, H, D, I] ^
WSHSI [W, S, H, S, I] ^
4BIH5 [4, B, I, H, 5] ^
1WW64 [1, W, W, 6, 4] ^
SVWUH [S, V, W, U, H] ^
4EI4D [4, E, I, 4, D] ^
U6D4E [U, 6, D, 4, E] ^
6B544 [6, B, 5, 4, 4] ^
DU1TU [D, U, 1, T, U] ^
1BSJ4 [1, B, S, J, 4] ^
H4SJH [H, 4, S, J, H] ^
54BBS [5, 4, B, B, S] ^
WU61S [W, U, 6, 1, S] ^
6U4IB [6, U, 4, I, B] ^
JS1UH [J, S, 1, U, H] ^
6B1UJ [6, B, 1, U, J] ^
S5JJU [S, 5, J, J, U] ^
16HDB [1, 6, H, D, B] ^
S1ID1 [S, 1, I, D, 1] ^
14DT1 [1, 4, D, T, 1] ^
1WTTT [1, W, T, T, T] ^
6VSH5 [6, V, S, H, 5] ^
BBT6D [B, B, T, 6, D] ^
4DHBU [4, D, H, B, U] ^
W5VUS [W, 5, V, U, S] ^
6TIHU [6, T, I, H, U] ^
JJ54I [J, J, 5, 4, I] ^
5JI6H [5, J, I, 6, H] ^
BW56I [B, W, 5, 6, I] ^
4I564 [4, I, 5, 6, 4] ^
JI4T5 [J, I, 4, T, 5] ^
6TDVW [6, T, D, V, W] ^
JU5ES [J, U, 5, E, S] ^
4E6DH [4, E, 6, D, H] ^
SISS1 [S, I, S, S, 1] ^
1DWUE [1, D, W, U, E] ^
BJDBH [B, J, D, B, H] ^
4JHJ1 [4, J, H, J, 1] ^
1S4UD [1, S, 4, U, D] ^
6DVVW [6, D, V, V, W] ^
BDTU5 [B, D, T, U, 5] ^
5TWHD [5, T, W, H, D] ^
B5HU4 [B, 5, H, U, 4] ^
1EWIJ [1, E, W, I, J] ^
4EUUI [4, E, U, U, I] ^
UWUST [U, W, U, S, T] ^
6UHT4 [6, U, H, T, 4] ^
44JTD [4, 4, J, T, D] ^
6ET4B [6, E, T, 4, B] ^
HVWB4 [H, V, W, B, 4] ^
64BU6 [6, 4, B, U, 6] ^
DUHSW [D, U, H, S, W] ^
44SIJ [4, 4, S, I, J] ^
6IB5W [6, I, B, 5, W] ^
15BHV [1, 5, B, H, V] ^
VH1DV [V, H, 1, D, V] ^
1UHD4 [1, U, H, D, 4] ^
DTEH4 [D, T, E, H, 4] ^
6HUBS [6, H, U, B, S] ^
WBJJJ [W, B, J, J, J] ^
6BSU6 [6, B, S, U, 6] ^
4I1BS [4, I, 1, B, S] ^
WED64 [W, E, D, 6, 4] ^
1ST4E [1, S, T, 4, E] ^
IU4IV [I, U, 4, I, V] ^
4W6EB [4, W, 6, E, B] ^
1H16U [1, H, 1, 6, U] ^
6HJW5 [6, H, J, W, 5] ^
4HJVJ [4, H, J, V, J] ^
IVDT6 [I, V, D, T, 6] ^
4EBV5 [4, E, B, V, 5] ^
ET155 [E, T, 1, 5, 5] ^
4565D [4, 5, 6, 5, D] ^
SU6ET [S, U, 6, E, T] ^
1TSDB [1, T, S, D, B] ^
V4EEE [V, 4, E, E, E] ^
5SUDU [5, S, U, D, U] ^
HDW5H [H, D, W, 5, H] ^
6V46H [6, V, 4, 6, H] ^
S66HI [S, 6, 6, H, I] ^
1I15H [1, I, 1, 5, H] ^
D15W4 [D, 1, 5, W, 4] ^
6IDSS [6, I, D, S, S] ^
VTHJH [V, T, H, J, H] ^
55UD6 [5, 5, U, D, 6] ^
IESSV [I, E, S, S, V] ^
4I56B [4, I, 5, 6, B] ^
1VS14 [1, V, S, 1, 4] ^
WDSDH [W, D, S, D, H] ^
54VBV [5, 4, V, B, V] ^
U4EES [U, 4, E, E, S] ^
61WTS [6, 1, W, T, S] ^
UTBHD [U, T, B, H, D] ^
5651E [5, 6, 5, 1, E] ^
T4TIH [T, 4, T, I, H] ^
6VI16 [6, V, I, 1, 6] ^
5B6T5 [5, B, 6, T, 5] ^
655HJ [6, 5, 5, H, J] ^
4WTJJ [4, W, T, J, J] ^
B4SUT [B, 4, S, U, T] ^
6EVVT [6, E, V, V, T] ^
BTJ66 [B, T, J, 6, 6] ^
6WIB5 [6, W, I, B, 5] ^
5TIBW [5, T, I, B, W] ^
I5EVU [I, 5, E, V, U] ^
6H1JU [6, H, 1, J, U] ^
WV55E [W, V, 5, 5, E] ^
6V4JH [6, V, 4, J, H] ^
HHEVT [H, H, E, V, T] ^
16H5I [1, 6, H, 5, I] ^
1UVIB [1, U, V, I, B] ^
5VH4V [5, V, H, 4, V] ^
B45EB [B, 4, 5, E, B] ^
1H5B5 [1, H, 5, B, 5] ^
WDDJE [W, D, D, J, E] ^
5WVS4 [5, W, V, S, 4] ^
UHS4V [U, H, S, 4, V] ^
16WI6 [1, 6, W, I, 6] ^
5THW4 [5, T, H, W, 4] ^
W4TI1 [W, 4, T, I, 1] ^
4W5BB [4, W, 5, B, B] ^
VVB5T [V, V, B, 5, T] ^
1EWEJ [1, E, W, E, J] ^
BBS4S [B, B, S, 4, S] ^
46EBH [4, 6, E, B, H] ^
BTDJJ [B, T, D, J, J] ^
1VDUE [1, V, D, U, E] ^
51SIJ [5, 1, S, I, J] ^
5WEE1 [5, W, E, E, 1] ^
6EJDJ [6, E, J, D, J] ^
4BS5T [4, B, S, 5, T] ^
J6SJI [J, 6, S, J, I] ^
66W5I [6, 6, W, 5, I] ^
1H51H [1, H, 5, 1, H] ^
JIWST [J, I, W, S, T] ^
1WE6D [1, W, E, 6, D] ^
HUD1U [H, U, D, 1, U] ^
5BI1H [5, B, I, 1, H] ^
B1VHE [B, 1, V, H, E] ^
6B1J5 [6, B, 1, J, 5] ^
1VVTD [1, V, V, T, D] ^
6DBH1 [6, D, B, H, 1] ^
BU5TB [B, U, 5, T, B] ^
6I6HH [6, I, 6, H, H] ^
1SJ5B [1, S, J, 5, B] ^
TBDII [T, B, D, I, I] ^
4VSDI [4, V, S, D, I] ^
JV6SH [J, V, 6, S, H] ^
4IHDE [4, I, H, D, E] ^
51DE4 [5, 1, D, E, 4] ^
1IH6V [1, I, H, 6, V] ^
SWVUJ [S, W, V, U, J] ^
145TE [1, 4, 5, T, E] ^
46DEH [4, 6, D, E, H] ^
V645T [V, 6, 4, 5, T] ^
1DDVD [1, D, D, V, D] ^
S11VW [S, 1, 1, V, W] ^
5SD6U [5, S, D, 6, U] ^
1H45U [1, H, 4, 5, U] ^
IDS14 [I, D, S, 1, 4] ^
4WUSH [4, W, U, S, H] ^
6VWHI [6, V, W, H, I] ^
U1BBW [U, 1, B, B, W] ^
5SJS6 [5, S, J, S, 6] ^
SSEHE [S, S, E, H, E] ^
6V54B [6, V, 5, 4, B] ^
HH45T [H, H, 4, 5, T] ^
11IWI [1, 1, I, W, I] ^
5VBIB [5, V, B, I, B] ^
W54T4 [W, 5, 4, T, 4] ^
5U4WS [5, U, 4, W, S] ^
6H6E5 [6, H, 6, E, 5] ^
VUJ14 [V, U, J, 1, 4] ^
16DJH [1, 6, D, J, H] ^
JHVHH [J, H, V, H, H] ^
1UD5W [1, U, D, 5, W] ^
VBUSE [V, B, U, S, E] ^
6BTSB [6, B, T, S, B] ^
WE6IS [W, E, 6, I, S] ^
6DTHW [6, D, T, H, W] ^
4IUHS [4, I, U, H, S] ^
ET4HH [E, T, 4, H, H] ^
4V5B1 [4, V, 5, B, 1] ^
HV6IS [H, V, 6, I, S] ^
5BUE6 [5, B, U, E, 6] ^
STSDH [S, T, S, D, H] ^
4DBT5 [4, D, B, T, 5] ^
IWHSE [I, W, H, S, E] ^
5VW14 [5, V, W, 1, 4] ^
T54WT [T, 5, 4, W, T] ^
4DUUE [4, D, U, U, E] ^
WSS5J [W, S, S, 5, J] ^
5E1T4 [5, E, 1, T, 4] ^
T4SEV [T, 4, S, E, V] ^
1S1SV [1, S, 1, S, V] ^
J6WB1 [J, 6, W, B, 1] ^
445T6 [4, 4, 5, T, 6] ^
4SWD6 [4, S, W, D, 6] ^
