6UI [6, U, I] ^
1UJ [1, U, J] ^
JEI [J, E, I] ^
4D5 [4, D, 5] ^
HW6 [H, W, 6] ^
1HE [1, H, E] ^
U1T [U, 1, T] ^
6E6 [6, E, 6] ^
11U [1, 1, U] ^
HUV [H, U, V] ^
6VB [6, V, B] ^
S6B [S, 6, B] ^
6J6 [6, J, 6] ^
TJB [T, J, B] ^
161 [1, 6, 1] ^
U5S [U, 5, S] ^
1DU [1, D, U] ^
BH1 [B, H, 1] ^
1B4 [1, B, 4] ^
VVU [V, V, U] ^
55T [5, 5, T] ^
45V [4, 5, V] ^
BTI [B, T, I] ^
5VE [5, V, E] ^
46W [4, 6, W] ^
6BW [6, B, W] ^
D61 [D, 6, 1] ^
1B5 [1, B, 5] ^
41B [4, 1, B] ^
4BS [4, B, S] ^
V1W [V, 1, W] ^
46H [4, 6, H] ^
TWJ [T, W, J] ^
1ED [1, E, D] ^
IDH [I, D, H] ^
4JE [4, J, E] ^
SUB [S, U, B] ^
5II [5, I, I] ^
BBI [B, B, I] ^
5HH [5, H, H] ^
SSV [S, S, V] ^
6BD [6, B, D] ^
1IV [1, I, V] ^
6HD [6, H, D] ^
S65 [S, 6, 5] ^
4TB [4, T, B] ^
IVD [I, V, D] ^
5W6 [5, W, 6] ^
H6W [H, 6, W] ^
45B [4, 5, B] ^
BES [B, E, S] ^
4HI [4, H, I] ^
H6T [H, 6, T] ^
1ED [1, E, D] ^
WED [W, E, D] ^
5TT [5, T, T] ^
1JS [1, J, S] ^
HBV [H, B, V] ^
51B [5, 1, B] ^
VJD [V, J, D] ^
5ET [5, E, T] ^
EUH [E, U, H] ^
4U4 [4, U, 4] ^
UJV [U, J, V] ^
11V [1, 1, V] ^
J1V [J, 1, V] ^
1WE [1, W, E] ^
ESS [E, S, S] ^
1BW [1, B, W] ^
T6U [T, 6, U] ^
56V [5, 6, V] ^
TEJ [T, E, J] ^
1H1 [1, H, 1] ^
15S [1, 5, S] ^
5HW [5, H, W] ^
6TV [6, T, V] ^
1J5 [1, J, 5] ^
UTD [U, T, D] ^
6DU [6, D, U] ^
E5U [E, 5, U] ^
46J [4, 6, J] ^
5J5 [5, J, 5] ^
TEI [T, E, I] ^
64H [6, 4, H] ^
IB1 [I, B, 1] ^
61H [6, 1, H] ^
HUD [H, U, D] ^
655 [6, 5, 5] ^
S1T [S, 1, T] ^
4WT [4, W, T] ^
S65 [S, 6, 5] ^
66J [6, 6, J] ^
IW6 [I, W, 6] ^
4I4 [4, I, 4] ^
IHB [I, H, B] ^
4JS [4, J, S] ^
I4D [I, 4, D] ^
4EV [4, E, V] ^
T4U [T, 4, U] ^
5TE [5, T, E] ^
1VT [1, V, T] ^
VB6 [V, B, 6] ^
5UD [5, U, D] ^
SSV [S, S, V] ^
41T [4, 1, T] ^
H4T [H, 4, T] ^
5SI [5, S, I] ^
EUD [E, U, D] ^
4BV [4, B, V] ^
JBS [J, B, S] ^
1E4 [1, E, 4] ^
HDU [H, D, U] ^
6HD [6, H, D] ^
H5I [H, 5, I] ^
4WT [4, W, T] ^
WH6 [W, H, 6] ^
4TS [4, T, S] ^
D6E [D, 6, E] ^
6H5 [6, H, 5] ^
54B [5, 4, B] ^
HH6 [H, H, 6] ^
5HW [5, H, W] ^
DB4 [D, B, 4] ^
164 [1, 6, 4] ^
TDH [T, D, H] ^
1DU [1, D, U] ^
I1E [I, 1, E] ^
5HW [5, H, W] ^
6TV [6, T, V] ^
VBE [V, B, E] ^
4TJ [4, T, J] ^
SWB [S, W, B] ^
165 [1, 6, 5] ^
V5B [V, 5, B] ^
5TU [5, T, U] ^
VB1 [V, B, 1] ^
4JU [4, J, U] ^
6HT [6, H, T] ^
1UW [1, U, W] ^
J1B [J, 1, B] ^
4VW [4, V, W] ^
WI4 [W, I, 4] ^
46T [4, 6, T] ^
EHU [E, H, U] ^
55V [5, 5, V] ^
HE5 [H, E, 5] ^
56I [5, 6, I] ^
DJI [D, J, I] ^
4ED [4, E, D] ^
I5T [I, 5, T] ^
5D6 [5, D, 6] ^
TIT [T, I, T] ^
41I [4, 1, I] ^
EUS [E, U, S] ^
5BW [5, B, W] ^
1SW [1, S, W] ^
4T4 [4, T, 4] ^
EDE [E, D, E] ^
6DB [6, D, B] ^
BDE [B, D, E] ^
6IT [6, I, T] ^
TE5 [T, E, 5] ^
6EE [6, E, E] ^
I41 [I, 4, 1] ^
5ST [5, S, T] ^
1DB [1, D, B] ^
EWE [E, W, E] ^
4WJ [4, W, J] ^
6ES [6, E, S] ^
HBV [H, B, V] ^
46W [4, 6, W] ^
HTW [H, T, W] ^
5EE [5, E, E] ^
I44 [I, 4, 4] ^
1ID [1, I, D] ^
JWS [J, W, S] ^
1I6 [1, I, 6] ^
15T [1, 5, T] ^
WW5 [W, W, 5] ^
6WV [6, W, V] ^
IJ5 [I, J, 5] ^
1J1 [1, J, 1] ^
UVV [U, V, V] ^
41J [4, 1, J] ^
UUS [U, U, S] ^
4UI [4, U, I] ^
66V [6, 6, V] ^
T46 [T, 4, 6] ^
1H5 [1, H, 5] ^
U5T [U, 5, T] ^
55S [5, 5, S] ^
DTD [D, T, D] ^
6II [6, I, I] ^
WUB [W, U, B] ^
1EU [1, E, U] ^
JS6 [J, S, 6] ^
656 [6, 5, 6] ^
4W6 [4, W, 6] ^
SVJ [S, V, J] ^
4V5 [4, V, 5] ^
IBD [I, B, D] ^
55H [5, 5, H] ^
UDU [U, D, U] ^
1SI [1, S, I] ^
4JV [4, J, V] ^
WV1 [W, V, 1] ^
4WH [4, W, H] ^
TEJ [T, E, J] ^
5SE [5, S, E] ^
DWB [D, W, B] ^
65D [6, 5, D] ^
W4H [W, 4, H] ^
46D [4, 6, D] ^
V4J [V, 4, J] ^
1VB [1, V, B] ^
WE1 [W, E, 1] ^
6UB [6, U, B] ^
56H [5, 6, H] ^
4U5 [4, U, 5] ^
EDI [E, D, I] ^
51D [5, 1, D] ^
15D [1, 5, D] ^
564 [5, 6, 4] ^
WTJ [W, T, J] ^
4HD [4, H, D] ^
IVT [I, V, T] ^
6SH [6, S, H] ^
4BU [4, B, U] ^
WBV [W, B, V] ^
1DS [1, D, S] ^
V15 [V, 1, 5] ^
4T1 [4, T, 1] ^
E4D [E, 4, D] ^
4HB [4, H, B] ^
H4E [H, 4, E] ^
1EB [1, E, B] ^
4TJ [4, T, J] ^
VIW [V, I, W] ^
4HU [4, H, U] ^
HS6 [H, S, 6] ^
4JS [4, J, S] ^
TDW [T, D, W] ^
6HW [6, H, W] ^
DWD [D, W, D] ^
4IH [4, I, H] ^
HDV [H, D, V] ^
116 [1, 1, 6] ^
14H [1, 4, H] ^
UTE [U, T, E] ^
4DU [4, D, U] ^
HBE [H, B, E] ^
16J [1, 6, J] ^
V4E [V, 4, E] ^
1JV [1, J, V] ^
DWV [D, W, V] ^
6BU [6, B, U] ^
S1S [S, 1, S] ^
654 [6, 5, 4] ^
16J [1, 6, J] ^
JDW [J, D, W] ^
4HH [4, H, H] ^
BHJ [B, H, J] ^
6T4 [6, T, 4] ^
I4H [I, 4, H] ^
5U5 [5, U, 5] ^
61J [6, 1, J] ^
HHB [H, H, B] ^
6IW [6, I, W] ^
HIS [H, I, S] ^
5DI [5, D, I] ^
16E [1, 6, E] ^
IDB [I, D, B] ^
1VV [1, V, V] ^
JJU [J, J, U] ^
4BD [4, B, D] ^
IVD [I, V, D] ^
1EB [1, E, B] ^
51J [5, 1, J] ^
I55 [I, 5, 5] ^
1H1 [1, H, 1] ^
T1U [T, 1, U] ^
4WV [4, W, V] ^
TDU [T, D, U] ^
1SS [1, S, S] ^
65I [6, 5, I] ^
UE4 [U, E, 4] ^
6V6 [6, V, 6] ^
5D6 [5, D, 6] ^
EU4 [E, U, 4] ^
1W5 [1, W, 5] ^
ISD [I, S, D] ^
6UJ [6, U, J] ^
4EE [4, E, E] ^
HIW [H, I, W] ^
1V1 [1, V, 1] ^
VD6 [V, D, 6] ^
5BD [5, B, D] ^
1V1 [1, V, 1] ^
U5W [U, 5, W] ^
6VE [6, V, E] ^
5IU [5, I, U] ^
DBB [D, B, B] ^
5WU [5, W, U] ^
E11 [E, 1, 1] ^
1H4 [1, H, 4] ^
HVT [H, V, T] ^
15H [1, 5, H] ^
HVH [H, V, H] ^
6TE [6, T, E] ^
1DS [1, D, S] ^
ITJ [I, T, J] ^
4JH [4, J, H] ^
VWE [V, W, E] ^
56E [5, 6, E] ^
5JV [5, J, V] ^
IU1 [I, U, 1] ^
6HE [6, H, E] ^
J1H [J, 1, H] ^
54B [5, 4, B] ^
11J [1, 1, J] ^
USS [U, S, S] ^
4VD [4, V, D] ^
WII [W, I, I] ^
5JD [5, J, D] ^
S4S [S, 4, S] ^
5DT [5, D, T] ^
VVJ [V, V, J] ^
5HT [5, H, T] ^
DHD [D, H, D] ^
5VH [5, V, H] ^
6J1 [6, J, 1] ^
51J [5, 1, J] ^
J1S [J, 1, S] ^
641 [6, 4, 1] ^
DWU [D, W, U] ^
161 [1, 6, 1] ^
5WU [5, W, U] ^
S5T [S, 5, T] ^
1UJ [1, U, J] ^
5JS [5, J, S] ^
H11 [H, 1, 1] ^
1HB [1, H, B] ^
DEU [D, E, U] ^
6E1 [6, E, 1] ^
UBH [U, B, H] ^
4HU [4, H, U] ^
16V [1, 6, V] ^
UIW [U, I, W] ^
14V [1, 4, V] ^
WST [W, S, T] ^
6IW [6, I, W] ^
IBS [I, B, S] ^
5VS [5, V, S] ^
56E [5, 6, E] ^
JSI [J, S, I] ^
1VT [1, V, T] ^
HJW [H, J, W] ^
14S [1, 4, S] ^
V5D [V, 5, D] ^
1S4 [1, S, 4] ^
W4B [W, 4, B] ^
5HE [5, H, E] ^
11V [1, 1, V] ^
WTE [W, T, E] ^
14I [1, 4, I] ^
V6I [V, 6, I] ^
1B6 [1, B, 6] ^
JD6 [J, D, 6] ^
4SH [4, S, H] ^
I15 [I, 1, 5] ^
41H [4, 1, H] ^
6E4 [6, E, 4] ^
41S [4, 1, S] ^
BBT [B, B, T] ^
1H1 [1, H, 1] ^
S4U [S, 4, U] ^
51H [5, 1, H] ^
SVE [S, V, E] ^
66U [6, 6, U] ^
H6U [H, 6, U] ^
11D [1, 1, D] ^
DT5 [D, T, 5] ^
5JT [5, J, T] ^
D51 [D, 5, 1] ^
4HI [4, H, I] ^
61B [6, 1, B] ^
SDS [S, D, S] ^
46J [4, 6, J] ^
DII [D, I, I] ^
1BD [1, B, D] ^
ESE [E, S, E] ^
6VI [6, V, I] ^
4E1 [4, E, 1] ^
5TI [5, T, I] ^
DDD [D, D, D] ^
1HI [1, H, I] ^
SST [S, S, T] ^
11I [1, 1, I] ^
UWD [U, W, D] ^
4EU [4, E, U] ^
6HI [6, H, I] ^
DST [D, S, T] ^
1TD [1, T, D] ^
UJV [U, J, V] ^
6D4 [6, D, 4] ^
DHJ [D, H, J] ^
1UT [1, U, T] ^
641 [6, 4, 1] ^
BHT [B, H, T] ^
6TW [6, T, W] ^
516 [5, 1, 6] ^
T5J [T, 5, J] ^
6DT [6, D, T] ^
5S4 [5, S, 4] ^
T6I [T, 6, I] ^
6U1 [6, U, 1] ^
51U [5, 1, U] ^
4BJ [4, B, J] ^
D5W [D, 5, W] ^
5DB [5, D, B] ^
6EJ [6, E, J] ^
UU6 [U, U, 6] ^
6IS [6, I, S] ^
IWJ [I, W, J] ^
155 [1, 5, 5] ^
VIS [V, I, S] ^
66I [6, 6, I] ^
1U1 [1, U, 1] ^
UDW [U, D, W] ^
14T [1, 4, T] ^
JSW [J, S, W] ^
41I [4, 1, I] ^
EJ5 [E, J, 5] ^
56J [5, 6, J] ^
1IW [1, I, W] ^
ETU [E, T, U] ^
6TW [6, T, W] ^
HHB [H, H, B] ^
5BE [5, B, E] ^
54E [5, 4, E] ^
4DS [4, D, S] ^
5B4 [5, B, 4] ^
4BD [4, B, D] ^
41T [4, 1, T] ^
5ST [5, S, T] ^
I4V [I, 4, V] ^
41S [4, 1, S] ^
EV1 [E, V, 1] ^
6SU [6, S, U] ^
V5U [V, 5, U] ^
1U6 [1, U, 6] ^
66J [6, 6, J] ^
I6E [I, 6, E] ^
44T [4, 4, T] ^
1WI [1, W, I] ^
DT1 [D, T, 1] ^
54W [5, 4, W] ^
IHW [I, H, W] ^
4DI [4, D, I] ^
EW6 [E, W, 6] ^
5VH [5, V, H] ^
W6U [W, 6, U] ^
5VE [5, V, E] ^
EDB [E, D, B] ^
6VT [6, V, T] ^
TE6 [T, E, 6] ^
165 [1, 6, 5] ^
JWH [J, W, H] ^
45I [4, 5, I] ^
JI4 [J, I, 4] ^
611 [6, 1, 1] ^
UHV [U, H, V] ^
4WU [4, W, U] ^
II6 [I, I, 6] ^
56B [5, 6, B] ^
EUI [E, U, I] ^
4JE [4, J, E] ^
E64 [E, 6, 4] ^
6W1 [6, W, 1] ^
T66 [T, 6, 6] ^
6WJ [6, W, J] ^
VUT [V, U, T] ^
1H6 [1, H, 6] ^
VU1 [V, U, 1] ^
1B6 [1, B, 6] ^
UUJ [U, U, J] ^
6ID [6, I, D] ^
UBS [U, B, S] ^
6DT [6, D, T] ^
DSU [D, S, U] ^
5JE [5, J, E] ^
SUE [S, U, E] ^
6ET [6, E, T] ^
EEE [E, E, E] ^
6SD [6, S, D] ^
VHU [V, H, U] ^
6BW [6, B, W] ^
UED [U, E, D] ^
5EH [5, E, H] ^
D4S [D, 4, S] ^
4B6 [4, B, 6] ^
51T [5, 1, T] ^
D5S [D, 5, S] ^
1HB [1, H, B] ^
HUD [H, U, D] ^
1BJ [1, B, J] ^
U6T [U, 6, T] ^
6SD [6, S, D] ^
1ET [1, E, T] ^
6HS [6, H, S] ^
WH1 [W, H, 1] ^
1ES [1, E, S] ^
UHV [U, H, V] ^
54I [5, 4, I] ^
BT4 [B, T, 4] ^
5VS [5, V, S] ^
B5D [B, 5, D] ^
5B6 [5, B, 6] ^
B41 [B, 4, 1] ^
6WJ [6, W, J] ^
4B4 [4, B, 4] ^
IB4 [I, B, 4] ^
6DJ [6, D, J] ^
VW4 [V, W, 4] ^
111 [1, 1, 1] ^
UI6 [U, I, 6] ^
4VS [4, V, S] ^
WSD [W, S, D] ^
6HS [6, H, S] ^
11D [1, 1, D] ^
55J [5, 5, J] ^
TTD [T, T, D] ^
5BH [5, B, H] ^
UB1 [U, B, 1] ^
5ST [5, S, T] ^
1HI [1, H, I] ^
SED [S, E, D] ^
66I [6, 6, I] ^
SUD [S, U, D] ^
4EU [4, E, U] ^
S44 [S, 4, 4] ^
4VE [4, V, E] ^
DES [D, E, S] ^
5WD [5, W, D] ^
WWU [W, W, U] ^
4HE [4, H, E] ^
DJT [D, J, T] ^
1WT [1, W, T] ^
J1S [J, 1, S] ^
1IB [1, I, B] ^
TS1 [T, S, 1] ^
4D5 [4, D, 5] ^
SHT [S, H, T] ^
6WH [6, W, H] ^
EDJ [E, D, J] ^
4UV [4, U, V] ^
HTD [H, T, D] ^
115 [1, 1, 5] ^
6H1 [6, H, 1] ^
UIJ [U, I, J] ^
61B [6, 1, B] ^
HJB [H, J, B] ^
6BE [6, B, E] ^
16U [1, 6, U] ^
TTH [T, T, H] ^
44U [4, 4, U] ^
4EW [4, E, W] ^
J6T [J, 6, T] ^
4DT [4, D, T] ^
STU [S, T, U] ^
5HV [5, H, V] ^
BJ1 [B, J, 1] ^
1HH [1, H, H] ^
HJ1 [H, J, 1] ^
1TE [1, T, E] ^
I4U [I, 4, U] ^
