FER |S1000 FER |S1000 FER [For | FER]^
FER |S1000 FER |S1000 FER [For | FER]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
FER |S1000 FER |S1000 FER [For | FER]^
GE |S1000 GE |S1000 GE [Good evening | GE]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
WX |S1000 WX |S1000 WX [Weather | WX]^
RST |S1000 RST |S1000 RST [R S T | RST]^
UR |S1000 UR |S1000 UR [Your | UR]^
DE |S1000 DE |S1000 DE [From | DE]^
FER |S1000 FER |S1000 FER [For | FER]^
ES |S1000 ES |S1000 ES [And | ES]^
FER |S1000 FER |S1000 FER [For | FER]^
ES |S1000 ES |S1000 ES [And | ES]^
FER |S1000 FER |S1000 FER [For | FER]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
73 |S1000 73 |S1000 73 [73 | 73]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
FER |S1000 FER |S1000 FER [For | FER]^
UR |S1000 UR |S1000 UR [Your | UR]^
FER |S1000 FER |S1000 FER [For | FER]^
ES |S1000 ES |S1000 ES [And | ES]^
FER |S1000 FER |S1000 FER [For | FER]^
73 |S1000 73 |S1000 73 [73 | 73]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
UR |S1000 UR |S1000 UR [Your | UR]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
GE |S1000 GE |S1000 GE [Good evening | GE]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
DE |S1000 DE |S1000 DE [From | DE]^
FER |S1000 FER |S1000 FER [For | FER]^
DE |S1000 DE |S1000 DE [From | DE]^
FER |S1000 FER |S1000 FER [For | FER]^
ES |S1000 ES |S1000 ES [And | ES]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
GE |S1000 GE |S1000 GE [Good evening | GE]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
FER |S1000 FER |S1000 FER [For | FER]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
WX |S1000 WX |S1000 WX [Weather | WX]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
FER |S1000 FER |S1000 FER [For | FER]^
UP |S1000 UP |S1000 UP [Up | UP]^
73 |S1000 73 |S1000 73 [73 | 73]^
FER |S1000 FER |S1000 FER [For | FER]^
WX |S1000 WX |S1000 WX [Weather | WX]^
UR |S1000 UR |S1000 UR [Your | UR]^
GE |S1000 GE |S1000 GE [Good evening | GE]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
FER |S1000 FER |S1000 FER [For | FER]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
FER |S1000 FER |S1000 FER [For | FER]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
FER |S1000 FER |S1000 FER [For | FER]^
GE |S1000 GE |S1000 GE [Good evening | GE]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
FER |S1000 FER |S1000 FER [For | FER]^
RST |S1000 RST |S1000 RST [R S T | RST]^
VY |S1000 VY |S1000 VY [Very | VY]^
73 |S1000 73 |S1000 73 [73 | 73]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
FER |S1000 FER |S1000 FER [For | FER]^
73 |S1000 73 |S1000 73 [73 | 73]^
FER |S1000 FER |S1000 FER [For | FER]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
FER |S1000 FER |S1000 FER [For | FER]^
DE |S1000 DE |S1000 DE [From | DE]^
