FT |S1000 FT |S1000 FT [Feet | FT]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
FT |S1000 FT |S1000 FT [Feet | FT]^
EL |S1000 EL |S1000 EL [Element | EL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
FT |S1000 FT |S1000 FT [Feet | FT]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
RX |S1000 RX |S1000 RX [Receive | RX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
HR |S1000 HR |S1000 HR [Hear | HR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
RX |S1000 RX |S1000 RX [Receive | RX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EL |S1000 EL |S1000 EL [Element | EL]^
FT |S1000 FT |S1000 FT [Feet | FT]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
