HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
HR |S1000 HR |S1000 HR [Hear | HR]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
