CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
RST |S1000 RST |S1000 RST [R S T | RST]^
WX |S1000 WX |S1000 WX [Weather | WX]^
VY |S1000 VY |S1000 VY [Very | VY]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
WX |S1000 WX |S1000 WX [Weather | WX]^
VY |S1000 VY |S1000 VY [Very | VY]^
WX |S1000 WX |S1000 WX [Weather | WX]^
VY |S1000 VY |S1000 VY [Very | VY]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
UP |S1000 UP |S1000 UP [Up | UP]^
WX |S1000 WX |S1000 WX [Weather | WX]^
DE |S1000 DE |S1000 DE [From | DE]^
WX |S1000 WX |S1000 WX [Weather | WX]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
DE |S1000 DE |S1000 DE [From | DE]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
WX |S1000 WX |S1000 WX [Weather | WX]^
NR |S1000 NR |S1000 NR [Number | NR]^
WX |S1000 WX |S1000 WX [Weather | WX]^
UP |S1000 UP |S1000 UP [Up | UP]^
WX |S1000 WX |S1000 WX [Weather | WX]^
RST |S1000 RST |S1000 RST [R S T | RST]^
DE |S1000 DE |S1000 DE [From | DE]^
WX |S1000 WX |S1000 WX [Weather | WX]^
DE |S1000 DE |S1000 DE [From | DE]^
WX |S1000 WX |S1000 WX [Weather | WX]^
73 |S1000 73 |S1000 73 [73 | 73]^
VY |S1000 VY |S1000 VY [Very | VY]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
UP |S1000 UP |S1000 UP [Up | UP]^
WX |S1000 WX |S1000 WX [Weather | WX]^
ES |S1000 ES |S1000 ES [And | ES]^
RST |S1000 RST |S1000 RST [R S T | RST]^
WX |S1000 WX |S1000 WX [Weather | WX]^
NR |S1000 NR |S1000 NR [Number | NR]^
73 |S1000 73 |S1000 73 [73 | 73]^
WX |S1000 WX |S1000 WX [Weather | WX]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
VY |S1000 VY |S1000 VY [Very | VY]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
NR |S1000 NR |S1000 NR [Number | NR]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
WX |S1000 WX |S1000 WX [Weather | WX]^
ES |S1000 ES |S1000 ES [And | ES]^
73 |S1000 73 |S1000 73 [73 | 73]^
WX |S1000 WX |S1000 WX [Weather | WX]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
DE |S1000 DE |S1000 DE [From | DE]^
VY |S1000 VY |S1000 VY [Very | VY]^
73 |S1000 73 |S1000 73 [73 | 73]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
NR |S1000 NR |S1000 NR [Number | NR]^
UP |S1000 UP |S1000 UP [Up | UP]^
VY |S1000 VY |S1000 VY [Very | VY]^
ES |S1000 ES |S1000 ES [And | ES]^
UP |S1000 UP |S1000 UP [Up | UP]^
73 |S1000 73 |S1000 73 [73 | 73]^
WX |S1000 WX |S1000 WX [Weather | WX]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
UP |S1000 UP |S1000 UP [Up | UP]^
WX |S1000 WX |S1000 WX [Weather | WX]^
RST |S1000 RST |S1000 RST [R S T | RST]^
NR |S1000 NR |S1000 NR [Number | NR]^
ES |S1000 ES |S1000 ES [And | ES]^
WX |S1000 WX |S1000 WX [Weather | WX]^
73 |S1000 73 |S1000 73 [73 | 73]^
WX |S1000 WX |S1000 WX [Weather | WX]^
