HW |S1000 HW |S1000 HW [How | HW]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
DX |S1000 DX |S1000 DX [D X | DX]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
DX |S1000 DX |S1000 DX [D X | DX]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
DX |S1000 DX |S1000 DX [D X | DX]^
HW |S1000 HW |S1000 HW [How | HW]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
HW |S1000 HW |S1000 HW [How | HW]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
