GB |S1000 GB |S1000 GB [Goodbye | GB]^
72 |S1000 72 |S1000 72 [72 | 72]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
88 |S1000 88 |S1000 88 [88 | 88]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
CW |S1000 CW |S1000 CW [C W | CW]^
88 |S1000 88 |S1000 88 [88 | 88]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
88 |S1000 88 |S1000 88 [88 | 88]^
CW |S1000 CW |S1000 CW [C W | CW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GN |S1000 GN |S1000 GN [Good night | GN]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
