INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
72 |S1000 72 |S1000 72 [72 | 72]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
NW |S1000 NW |S1000 NW [Now | NW]^
CW |S1000 CW |S1000 CW [C W | CW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
NW |S1000 NW |S1000 NW [Now | NW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
CW |S1000 CW |S1000 CW [C W | CW]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
88 |S1000 88 |S1000 88 [88 | 88]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
88 |S1000 88 |S1000 88 [88 | 88]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
