QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
88 |S1000 88 |S1000 88 [88 | 88]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
NW |S1000 NW |S1000 NW [Now | NW]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
88 |S1000 88 |S1000 88 [88 | 88]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
88 |S1000 88 |S1000 88 [88 | 88]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
GN |S1000 GN |S1000 GN [Good night | GN]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
NW |S1000 NW |S1000 NW [Now | NW]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
72 |S1000 72 |S1000 72 [72 | 72]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
CW |S1000 CW |S1000 CW [C W | CW]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
88 |S1000 88 |S1000 88 [88 | 88]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
72 |S1000 72 |S1000 72 [72 | 72]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
NW |S1000 NW |S1000 NW [Now | NW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
