VERT |S1000 QRQ [Vertical, High speed]^
EL |S1000 RX [Element, Receive]^
YAGI |S1000 QRP [Yagi, Low power]^
OP |S1000 HR [Operator, Hear]^
CFM |S1000 YAGI [Confirm, Yagi]^
TX |S1000 PLS [Transmit, Please]^
EL |S1000 YAGI [Element, Yagi]^
EL |S1000 BCNU [Element, Be seeing you]^
YAGI |S1000 FT [Yagi, Feet]^
RX |S1000 PSE [Receive, Please]^
YAGI |S1000 RX [Yagi, Receive]^
YAGI |S1000 HW\? [Yagi, How copy\?]^
OP |S1000 YAGI [Operator, Yagi]^
HR |S1000 YAGI [Hear, Yagi]^
BCNU |S1000 CFM [Be seeing you, Confirm]^
DR |S1000 QSY [Dear, Change frequency]^
EFHW |S1000 HW\? [End fed, half-wave, How copy\?]^
