WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
72 |S1000 72 |S1000 72 [72 | 72]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
72 |S1000 72 |S1000 72 [72 | 72]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
88 |S1000 88 |S1000 88 [88 | 88]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
72 |S1000 72 |S1000 72 [72 | 72]^
88 |S1000 88 |S1000 88 [88 | 88]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
72 |S1000 72 |S1000 72 [72 | 72]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
CW |S1000 CW |S1000 CW [C W | CW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
88 |S1000 88 |S1000 88 [88 | 88]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
88 |S1000 88 |S1000 88 [88 | 88]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
NW |S1000 NW |S1000 NW [Now | NW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
