TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DX |S1000 DX |S1000 DX [D X | DX]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
HW |S1000 HW |S1000 HW [How | HW]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
HW |S1000 HW |S1000 HW [How | HW]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
DX |S1000 DX |S1000 DX [D X | DX]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
HW |S1000 HW |S1000 HW [How | HW]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
