359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
88 |S1000 88 |S1000 88 [88 | 88]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
CW |S1000 CW |S1000 CW [C W | CW]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GD |S1000 GD |S1000 GD [Good | GD]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GD |S1000 GD |S1000 GD [Good | GD]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
88 |S1000 88 |S1000 88 [88 | 88]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
88 |S1000 88 |S1000 88 [88 | 88]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
NW |S1000 NW |S1000 NW [Now | NW]^
