579 |S1000 579 |S1000 579 [5 7 9 | 579]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
88 |S1000 88 |S1000 88 [88 | 88]^
NW |S1000 NW |S1000 NW [Now | NW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
NW |S1000 NW |S1000 NW [Now | NW]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
72 |S1000 72 |S1000 72 [72 | 72]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GN |S1000 GN |S1000 GN [Good night | GN]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
88 |S1000 88 |S1000 88 [88 | 88]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
NW |S1000 NW |S1000 NW [Now | NW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
