OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
72 |S1000 72 |S1000 72 [72 | 72]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
