HI HI |S1000 HI HI |S1000 HI HI [laughing | HI HI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
DX |S1000 DX |S1000 DX [D X | DX]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
WUD |S1000 WUD |S1000 WUD [Would | WUD]^
73 |S1000 73 |S1000 73 [73 | 73]^
DE |S1000 DE |S1000 DE [From | DE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
HV |S1000 HV |S1000 HV [Have | HV]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
WX |S1000 WX |S1000 WX [Weather | WX]^
73 |S1000 73 |S1000 73 [73 | 73]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
RST |S1000 RST |S1000 RST [R S T | RST]^
UR |S1000 UR |S1000 UR [Your | UR]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GUD |S1000 GUD |S1000 GUD [Good | GUD]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
UP |S1000 UP |S1000 UP [Up | UP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
WUD |S1000 WUD |S1000 WUD [Would | WUD]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
WX |S1000 WX |S1000 WX [Weather | WX]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
UR |S1000 UR |S1000 UR [Your | UR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
88 |S1000 88 |S1000 88 [88 | 88]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
UR |S1000 UR |S1000 UR [Your | UR]^
ABT |S1000 ABT |S1000 ABT [About | ABT]^
HW |S1000 HW |S1000 HW [How | HW]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
CW |S1000 CW |S1000 CW [C W | CW]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
DX |S1000 DX |S1000 DX [D X | DX]^
EL |S1000 EL |S1000 EL [Element | EL]^
WX |S1000 WX |S1000 WX [Weather | WX]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
UP |S1000 UP |S1000 UP [Up | UP]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
DX |S1000 DX |S1000 DX [D X | DX]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
ABT |S1000 ABT |S1000 ABT [About | ABT]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
UP |S1000 UP |S1000 UP [Up | UP]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
ES |S1000 ES |S1000 ES [And | ES]^
UP |S1000 UP |S1000 UP [Up | UP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
DE |S1000 DE |S1000 DE [From | DE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
WX |S1000 WX |S1000 WX [Weather | WX]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
NR |S1000 NR |S1000 NR [Number | NR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
DE |S1000 DE |S1000 DE [From | DE]^
