Callsign,Section,PH,CW,DI,Mult,Pwr X,Bonus,Claimed Score,Calculated Score,Class
KT4LS,GA,2,0,0,1,2,,4,4,1H
KX9RT,WI,5,3,0,4,2,,132,56,1H
KY0Q,IL,3,55,0,5,2,,1130,1030,1H
KZ7ZUL,UT,0,0,63,3,2,,,324,1H
N0DOW,MN,35,0,0,3,1,,,93,1H
N0EMU,CO,60,0,0,3,2,,,336,1H
N0FY,MO,127,0,0,3,2,,762,714,1H
N0KJI,CO,10,17,0,5,1,,44,190,1H
N0RQV,CO,3,0,0,1,2,,6,6,1H
N0WRK,CO,49,0,0,3,1,,147,138,1H
N1FI,WMA,24,0,0,3,1,,72,69,1H
N1PRH,CT,0,0,4,1,2,,1516,8,1H
N1TYH,WMA,0,0,6,2,2,,48,32,1H
N1XRR,SC,8,0,0,2,2,,32,28,1H
N2MO,NNJ,26,17,0,5,2,,600,400,1H
N2VGA,SFL,202,41,0,5,2,,2840,2630,1H
N3ATE,EPA,37,0,45,5,2,,1270,1170,1H
N3CU,EPA,165,80,0,8,2,,5200,4896,1H
N3FJP,MDC,453,8,0,7,1,,3283,3129,1H
N3JIX,EPA,0,0,2,1,4,,16,16,1H
N3VYZ,WPA,81,0,0,2,2,,324,304,1H
N3XKB,NM,18,0,0,2,2,,72,72,1H
N4AU,AL,0,6,9,4,2,,240,224,1H
N4BRF,SFL,369,159,0,9,2,3000,15366,14243,3H
N4CCJ,KY,73,0,0,3,2,,438,420,1H
N4CFC,NC,5,0,0,2,2,,20,20,1H
N4DDS,SC,19,0,0,2,2,,76,60,1H
N4KS,NFL,0,102,0,3,1,,612,588,1H
N5AWW,NTX,54,0,0,3,2,,324,318,1H
N5CAA,AR,16,0,2,3,2,,120,108,1H
N5CWA,STX,0,0,17,1,2,,68,64,1H
N5GD,MS,300,0,0,3,2,,1800,1728,1H
N5QIM,OK,1,0,0,1,2,,1,2,1H
N5VX,OK,31,0,0,2,2,,64,116,1H
N7DJD,UT,24,0,0,3,2,,144,126,1H
N7MZW,WY,490,0,0,3,2,,2940,2814,1H
N8ARG,OH,220,7,20,6,2,,3288,3096,2H
N8CWU,OH,342,0,0,3,2,,2052,1908,1H
N8HWV,WI,2,6,0,2,2,,56,48,1H
N9JFK,WI,50,0,0,3,2,,300,276,1H
N9PBD,IL,3,0,0,2,2,,12,12,1H
N9TBD,IL,20,0,0,2,1,,40,38,1H
N9WL,NM,15,0,0,1,4,1500,1620,1560,1H
N9YLZ,IL,187,0,0,1,2,,374,346,1H
NC6Q,LAX,8,18,8,11,2,1500,2940,2775,1H
NR9K,IL,11,0,20,3,1,,153,141,1H
NT7H,WWA,40,1,48,8,2,1500,3583,3441,2H
NW4TF,GA,92,0,0,3,2,,,462,1H
NW9F,IN,45,0,0,1,2,,90,84,1H
VA2KF,QC,50,0,0,3,1,,150,144,1H
VA2MO,QC,13,0,0,4,2,,104,88,1H
VA2MVX,QC,9,4,8,6,2,,126,228,1H
VA2WFD,QC,10,0,0,1,2,,20,20,1H
VA3BAH,ONE,9,0,0,2,2,,36,32,1H
VA3PCJ,ONE,0,2,0,1,4,1500,1516,1516,1H
VE2GT,QC,19,0,0,2,2,,38,76,1H
VE2HAY,QC,16,0,0,2,2,,99,56,1H
VE3DDL,STX,84,0,0,2,2,1500,1836,1696,1H
VE3ERC,ONS,67,4,0,4,2,,600,544,1H
VE3JG,ONE,0,8,2,3,4,,240,144,1H
VE3KQN,ONE,0,56,0,3,4,,,1176,1H
VE3QEE,ONS,18,0,0,1,2,,,34,1H
VE3RCN,ONS,16,11,10,9,2,,1044,846,1H
VE5CAR,SK,11,0,0,1,4,1500,1544,1539,1H
VE6FAR,AB,47,5,0,9,2,,,972,3H
VE6NS,AB,0,15,0,2,4,1500,1740,1740,1H
VE7UBC,BC,0,8,0,1,2,,32,24,1H
VE7VVC,BC,14,0,0,3,2,,28,78,3H
VY2GF,MAR,20,0,0,1,2,,,36,1H
W0MAR,CO,57,0,0,2,1,,114,108,1H
W0MQY,KS,0,0,31,2,2,,248,200,1H
W0QQG,VA,0,27,0,2,2,,,192,1H
W0TBL,MO,26,0,0,2,2,,104,96,1H
W0YJT,KS,35,25,0,5,2,1500,3200,2234,1H
W1AKI,NH,65,0,0,2,2,,,240,1H
W1PEF,NH,10,0,0,1,1,,,10,1H
W1QI,CT,82,42,0,5,2,,820,1360,2H
W1WAB,WCF,0,0,6,1,2,,24,16,1H
W2ARP,SFL,0,13,0,2,2,1500,1604,1604,1H
W2EUS,AL,18,0,0,2,2,,126,60,1H
W2MRD,ENY,15,0,0,3,2,,45,90,1H
W2QCY,ENY,6,26,2,4,2,,496,448,1H
W2VDZ,NNJ,78,0,0,3,2,,,438,1H
W3CRS,EPA,59,21,0,5,2,1500,2510,2379,3H
W3MMM,MDC,136,0,0,2,2,,544,524,1H
W3YR,MDC,50,83,0,6,2,1500,4092,3928,1H
W4CHI,NC,59,0,0,3,2,,118,342,1H
W4CMG,TN,40,0,0,3,2,,240,234,1H
W4FEB,WMA,10,0,0,3,2,,60,60,1H
W4GHV,NC,29,1,0,3,2,,186,180,1H
W4HRL,VA,22,0,0,2,2,,88,84,1H
W4IOD,KY,112,0,37,9,2,1500,4476,4568,1H
W4JL,NC,240,20,0,6,2,,3360,3048,1H
W4LID,KY,83,0,0,3,2,,8602,450,1H
W4SHL,AL,456,0,58,6,2,1500,8364,7219,3H
W4SPR,SFL,0,46,0,1,2,,184,164,1H
W4WWB,NFL,10,0,0,2,2,,40,40,1H
W5AP,NTX,0,8,0,2,1,,32,24,1H
W5DRR,VA,36,0,0,3,2,,216,204,1H
W5QLF,STX,0,53,0,3,2,,636,600,1H
W6GMT,MN,20,16,0,5,2,,520,420,1H
W6JBR,SVG,15,0,0,1,2,,60,30,1H
W6NJB,AR,8,0,0,3,2,1500,1548,1541,1H
W6PJJ,SV,170,0,12,5,2,,1940,1840,1H
W6REK,SCV,23,0,0,4,2,,184,144,1H
W7DRW,AZ,0,0,115,2,2,,920,744,1H
W7GB,EWA,0,33,0,2,2,,264,264,1H
W7GF,OR,3,14,0,3,2,1500,1748,1660,1H
W7HPM,OR,1,0,0,1,2,,2,2,1H
W7IVM,UT,23,0,0,3,2,,132,138,1H
W7UV,NV,5,5,0,2,2,,60,56,1H
W7WOW,NV,42,24,0,7,2,,1260,1106,1H
W8AHT,OH,36,0,0,3,2,,216,198,1H
W8JJB,OH,10,0,0,2,2,,,24,1H
W8MAI,MI,269,209,62,29,2,1500,50220,44554,7H
W8SWV,WV,23,0,0,3,2,,138,126,1H
W9JPR,IL,73,0,0,3,2,,438,420,1H
W9SAC,IL,12,0,9,7,1,,210,154,2H
W9TE,IN,7,0,0,1,2,,,12,1H
W9TTY,IL,0,0,4,1,2,,16,4,1H
WA0LJM,MN,5,4,0,2,2,,52,52,1H
WA0TTS,MO,60,0,0,3,2,,1618,318,1H
WA1BXY,RI,95,147,25,9,2,1500,9402,6074,1H
WA1FFT,CT,14,0,0,1,2,,28,22,1H
WA2DQL,WNY,126,20,0,4,2,,656,720,2H
WA2JQZ,CO,3,8,0,4,2,,152,152,1H
WA2QAU,WNY,102,0,0,2,2,,408,400,1H
WA3DQS,NC,47,11,0,5,2,,690,660,1H
WA4AAK,AL,3,9,0,4,4,1500,1836,1836,1H
WA4IPU,NFL,115,0,0,2,2,,460,432,1H
WA6FSJ,ORG,55,0,0,3,2,,330,318,1H
WA7BNM,LAX,1,0,0,1,2,,,2,1H
WA9LKF,IL,164,25,0,6,2,,2568,2400,1H
WA9PWP,WI,0,10,0,2,2,,40,72,1H
WB1HGA,EMA,0,11,4,3,4,,360,288,1H
WB1KE,UT,3,0,0,1,2,,6,6,1H
WB3LGC,DE,44,0,0,3,2,1500,1764,1757,1H
WB4OSU,NC,0,0,18,2,2,,144,128,1H
WB6AGE,WWA,2,0,82,4,2,1500,2828,2624,1H
WB6ETY,EB,4,12,0,6,2,1500,1812,1635,1H
WB7PVL,NTX,10,68,0,4,2,,1168,1112,1H
WB8ERJ,OH,89,102,0,6,2,1500,5016,4701,1H
WB8REI,OH,105,0,0,2,2,,420,400,1H
WD9IGY,WI,28,0,0,2,2,,112,112,1H
WJ8SON,MI,0,1,0,2,2,,4,4,1H
WO9B,WI,0,18,0,3,4,,108,288,1H
WT8WV,WV,106,0,54,6,2,,2568,2292,1H
WU1N,OH,0,0,56,3,2,,672,648,1H
WU6X,SV,1,0,0,1,2,,2,2,1H
WW5L,NV,2,0,0,2,2,,8,8,1H
WX4WCS,GA,5,0,4,3,2,,78,66,1H
WZ4K,VA,209,0,0,3,2,,1254,1230,1H
WZ6ZZ,EB,8,0,0,1,2,,16,16,1H
YV5IAL,DX,0,0,39,2,2,,312,200,1H
AC4H,KY,327,0,1,4,2,,646,646,1H
N4BAK,SC,2,0,61,4,2,,992,992,1H
W4ZNG,MS,6,0,7,6,4,1500,2088,1882,
